"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"32936","2046","-14589","-23568","3582","17919","3326","27968","-14845","-8003","29","2","51131","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32937","-26373","20484","20977","29694","-19203","-3075","13632","6404","8638","29","2","51157","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32938","-28934","-28923","23793","29950","30715","-16130","-1217","-19196","13758","29","2","51184","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32939","18426","13574","20464","-30979","28664","-32257","-24513","-22267","2238","29","2","51208","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32940","-2566","-19962","2032","26364","11766","29695","2367","519","-21827","29","2","51234","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32941","29944","-21243","9711","20219","-18699","5887","15422","-32248","15549","29","2","51259","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32942","-16396","13831","-12050","-1799","5876","-17153","10557","6666","-23876","29","2","51285","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32943","-15880","-8440","30959","26614","12526","-16641","26939","11276","-31813","29","2","51311","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32944","30972","25096","-6161","10480","-24093","9981","11064","24847","838","29","2","51336","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32945","1795","-21494","2035","-9240","5088","11766","-28110","-31469","28994","29","2","51362","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32946","-17666","-13822","3834","-11545","-26643","-25874","-8661","24855","-13762","29","2","51387","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32947","28403","7941","17148","-12566","-21506","30192","-2265","14106","13630","29","2","51413","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32948","-26903","-28674","-29437","13805","-26363","27895","27431","-10981","-7360","29","2","51439","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32949","13803","31994","262","-9226","-7164","-2053","-30168","-29924","15172","29","2","51464","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32950","-9237","-3326","1539","-8448","14336","4094","19753","-4580","31301","29","2","51490","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32951","24047","-16127","7163","12803","22526","-25089","22825","9501","3141","29","2","51515","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32952","-2830","26890","7931","-28417","17408","-12032","22057","5661","-9404","29","2","51541","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32953","13809","-3582","-4868","30461","32000","-13824","18729","-6116","7493","29","2","51567","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32954","-23565","-15097","-13314","4094","6656","1792","2345","-10724","13893","29","2","51592","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32955","8687","24064","9727","-10242","15616","-7425","-10200","-9700","16197","29","2","51618","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32956","1777","-14843","-9729","24576","-512","9217","5417","-15844","-29627","29","2","51643","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32957","-19474","-29951","-7427","-11775","-2048","-26878","29993","27676","-18107","29","2","51669","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32958","10483","-24822","23288","12801","7170","-27389","3626","-7909","5190","29","2","51695","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32959","19443","22795","21746","-27396","3330","-253","23082","9499","-2631","29","2","51720","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32960","-15114","9229","26095","-15371","-22017","17665","29481","-24294","10938","29","2","51746","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32961","-11525","-17913","-28177","-29458","508","14075","-19930","-4838","12614","29","2","51772","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32962","-12558","22787","-10769","20455","28409","-21004","27937","20252","5700","29","2","51797","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32963","7661","20478","-3854","-26143","29432","11252","-12777","-13027","-27586","29","2","51823","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32964","-25368","-26117","-1547","26078","21498","29687","28939","21022","-2506","29","2","51848","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32965","7649","-20493","11769","-2855","15612","10236","6657","542","1074","29","2","51899","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32966","-32036","-25876","7168","-1577","-21764","8196","18939","-26083","19506","29","2","51902","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32967","10462","-18968","-9464","20703","2040","7435","-8454","5405","-23497","29","2","51925","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32968","29669","-5914","30728","14828","-12560","-9972","-24067","30491","-27586","29","2","51951","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32969","20210","18152","-5631","8693","2287","1547","-8193","-7400","23107","29","2","51976","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32970","18932","8425","-14331","-4105","23021","-11000","-21760","11798","-3259","29","2","52002","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32971","-28672","-32533","22536","17661","26864","-4857","14593","23315","5051","29","2","52030","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32972","-9211","-32530","25612","13059","32242","29700","-5375","-1520","4028","29","2","52053","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32973","-7422","-17680","11531","26631","12022","16639","-20222","22543","-2885","29","2","52079","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32974","-15106","-3089","2571","7438","-22534","15871","1028","-1779","25787","29","2","52104","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32975","22780","7406","17415","-32746","-774","12038","-1274","-2548","-22597","29","2","52130","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32976","-15871","23020","18177","-8418","-9221","4872","-28917","-9205","-30020","29","2","52156","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32977","15879","-3858","-28425","24357","25851","12036","785","-13302","-4932","29","2","52181","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32978","3851","18936","17646","22053","-26627","-29188","-27370","-31734","29116","29","2","52207","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32979","3341","-30204","13285","-15330","-8191","30711","-20965","26123","1468","29","2","52232","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32980","17678","29451","31457","-4592","-14586","2544","-24801","22285","-30532","29","2","52258","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32981","25349","-7929","-29461","-18428","-2299","4834","-15583","1041","32189","29","2","52284","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32982","7157","-15364","-6931","6656","12548","9690","-4062","29206","-27458","29","2","52309","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32983","18152","10745","-15121","6401","-23549","-15396","-10460","9756","-30016","29","2","52335","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32984","-18719","27901","-27670","3073","32260","12516","-4050","-25824","-29494","29","2","52360","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32985","29151","8192","-28953","14327","16901","-32534","9415","-22496","8688","29","2","52386","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32986","-28962","24313","-3090","14573","1798","-7952","24012","2846","-11529","29","2","52412","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32987","15330","-17933","-13834","24298","-9725","-9742","-1589","-3045","-15622","29","2","52437","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32988","22752","24305","1278","7404","-3326","18676","28363","14618","-27907","29","2","52463","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32989","18908","-9998","-26115","-8209","-29183","-28424","-24886","25","-25089","29","2","52489","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32990","2013","30708","-9226","-27919","-3","-18946","22473","-19688","-20224","29","2","52514","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32991","-13597","-7949","-8716","32750","-22536","9217","-15673","24857","-24831","29","2","52540","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32992","1001","-24336","17658","-32533","-11789","11519","711","-19686","3844","29","2","52565","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32993","-7958","-21779","-24578","-31251","-29453","5118","-11833","5404","5384","29","2","52591","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32994","2285","17389","-28417","27891","-11536","18175","1227","-30435","-14835","29","2","52616","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32995","-22545","-16402","-21762","-5128","30703","-11263","-19246","1567","4631","29","2","52642","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32996","11251","-6928","-8964","-22532","30704","27907","6368","-13025","22821","29","2","52668","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32997","-24841","-5134","-10500","17918","19184","-14846","-6419","5407","-20173","29","2","52693","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32998","23292","24820","-19972","-7425","7667","-4097","15348","29213","19514","29","2","52719","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"32999","2302","-11530","21501","9984","12536","-17156","32757","-3557","-26053","29","2","52744","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"33000","14324","244","26376","-27903","13044","-29443","-14091","-31974","-9157","29","2","52770","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
"33001","-266","-13837","-2556","-21752","-266","-24318","4344","8217","25917","29","2","52796","2020-11-02 15:34:32","2020-11-02 15:35:02","1","DF:DC:EF:28:D6:3E","29","29"
