"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"34131","-14345","26106","-26639","9472","7933","28671","19904","-22773","-12343","30","7","65332","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34132","-7944","13562","-4114","-22272","1532","-24320","31424","12812","-3639","30","7","65358","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34133","20728","-28166","-14354","-28929","-18436","8960","-29248","-18932","4554","30","7","65385","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34134","-11529","-9734","5360","-29954","-7940","7167","-31552","8461","20938","30","7","65408","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34135","15352","1531","242","23806","-29187","-771","-31552","29709","-16182","30","7","65433","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34136","12025","-13060","-11021","-12802","-20481","32509","-27200","-30451","16075","30","7","65459","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34137","-6408","5374","-9485","-18177","18946","19965","-18240","17421","-22069","30","7","65485","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34138","-28684","-28678","8434","-5121","-11005","-15875","-11072","-21748","-6709","30","7","65510","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34139","-5390","-11271","-19215","-26113","-4861","6654","-10560","-2549","-309","30","7","0","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34140","13555","-9476","22514","9727","12802","-1795","-11584","29195","9932","30","7","26","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34141","-21769","15355","24564","-12802","-11264","-22787","-13120","11275","29900","30","7","51","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34142","-30222","-8709","17138","5631","7424","-14851","-12096","1547","-11316","30","7","77","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34143","19959","-775","27892","-28673","12800","-16898","-10304","-3318","6093","30","7","102","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34144","10997","16126","14835","6656","15360","-17665","-8256","-6646","12493","30","7","128","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34145","-26380","25081","-6671","28672","7936","15616","-5952","-7670","10189","30","7","153","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34146","-28424","-15877","-27662","5888","31743","30464","-4672","-3574","6861","30","7","179","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34147","-21002","-20482","-1039","-30721","-17154","23808","-8256","8459","5837","30","7","205","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34148","-18700","-10246","4081","-31745","-23810","14592","-12864","22027","7373","30","7","230","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34149","-13578","-29448","14833","15359","-19202","-31744","-18752","-29429","7629","30","7","281","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34150","9465","12539","16370","5887","-7170","-6144","-29760","-15605","4045","30","7","283","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34151","32248","5374","-1295","25599","-7426","8961","24256","-1525","-3380","30","7","307","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34152","246","25341","14065","-16385","-5634","-29439","14272","12812","-14900","30","7","333","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34153","-16907","19706","30192","13312","-26881","4866","5056","24332","31692","30","7","358","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34154","31479","17656","-9744","22016","0","2818","-3649","30476","8396","30","7","384","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34155","-9223","-13315","-26638","7168","-2305","23809","-10817","-31476","-10549","30","7","409","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34156","-9735","30461","3571","6400","-6145","-30464","-14657","-28148","-19253","30","7","435","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34157","9719","-4103","15344","19712","-7425","2816","-13377","-27636","-21557","30","7","461","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34158","-24074","-1542","29935","-23041","-31488","30207","-12353","32012","-20021","30","7","486","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34159","13814","-18951","2800","30718","13056","31742","-16961","24332","-8757","30","7","512","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34160","-16905","9465","-20494","-5122","8448","3070","-20033","16140","11724","30","7","537","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34161","-2314","-9734","-3341","-6656","-19967","-22018","-10305","1548","27852","30","7","563","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34162","14328","15868","20469","18947","-19710","13056","12992","-19957","26316","30","7","589","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34163","27897","25853","32758","4101","-17661","-21247","-19008","17675","3276","30","7","614","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34164","-7430","-27906","6648","-8443","11780","-15614","18113","-12278","28619","30","7","640","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34165","-10244","6911","-25096","16646","30724","23043","-9791","24330","-21558","30","7","666","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34166","-28931","-16386","15864","22278","-7420","-30717","28610","-6647","-12087","30","7","691","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34167","14333","-27139","26103","-18939","32517","-3582","-1342","22793","-2616","30","7","717","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34168","29946","-5638","-14603","6406","-1019","-22270","-29757","-18680","10696","30","7","742","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34169","21239","15866","-4624","-27128","-27386","21252","21444","6664","12487","30","7","768","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34170","-1035","-23816","17642","-14839","5894","2823","20421","-20217","-11323","30","7","794","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34171","-13322","19445","-31772","26117","-8701","27655","-4411","-24057","22980","30","7","820","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34172","14327","27888","10975","-14593","-31230","-18941","-9531","-19705","22979","30","7","847","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34173","-26638","-3348","988","-24836","9475","-11267","25797","19207","4035","30","7","870","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34174","28143","-22294","-2339","-264","13313","1785","-17212","-22522","-23869","30","7","896","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34175","-21011","-7191","-17440","28662","28158","7670","-14653","7942","-5180","30","7","922","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34176","-15378","16106","-11294","20983","12539","13045","-6974","774","-19770","30","7","947","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34177","-16143","-18451","30184","17145","15611","-3595","18370","7942","-29752","30","7","973","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34178","-15112","-30987","30708","-29444","16891","18424","1474","20998","8138","30","7","998","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34179","32001","1533","-25089","-27648","25083","30204","12994","-18938","13515","30","7","1024","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34180","-2295","260","5638","-18171","-22019","-30975","-11070","9479","32715","30","7","1050","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34181","-21750","-10748","25597","13321","15362","16389","-7741","21767","-6710","30","7","1075","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34182","9221","31748","4598","-25593","15880","-16636","-16188","-11514","-22327","30","7","1101","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
"34183","-31745","27394","17398","23299","-31995","23296","14789","-2811","-16440","30","7","1126","2020-11-02 15:35:50","2020-11-02 15:36:19","1","DF:DC:EF:28:D6:3E","30","30"
