"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"36451","-22266","-23805","-18963","21498","-25346","-20221","15548","8202","20190","32","246","60762","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36452","-2294","-30972","-14612","511","-32259","10750","-24389","17930","13022","32","246","60788","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36453","-10491","-14336","20200","2307","-30214","29175","26556","-18166","18911","32","246","60815","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36454","-26626","-9479","-793","-10754","21241","-15372","30909","23563","15329","32","246","60839","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36455","-4360","30194","-24852","10743","-28934","16885","-19779","-5365","25059","32","246","60864","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36456","3320","-28943","2290","-2574","-31748","23032","-10052","20492","9445","32","246","60890","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36457","10488","-26892","8439","22261","5372","-22020","-22597","-13300","12518","32","246","60916","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36458","-26629","-2565","-17160","19193","-24833","-3332","-19782","7693","-19738","32","246","60941","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36459","-6663","-30980","26355","27904","-29696","6137","-6982","2573","-17433","32","246","60967","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36460","-5904","21496","-10003","21764","-12802","7419","5052","6413","-6680","32","246","60992","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36461","-16657","10235","-8470","9216","-3073","-24065","-20804","10765","20201","32","246","61018","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36462","-14097","-15117","13548","-12552","-24318","-3072","-2117","-1780","10985","32","246","61044","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36463","-6919","32757","9454","-20746","-5373","-17664","-29254","25356","1769","32","246","61069","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36464","-4364","-13830","-32271","-27142","-32768","-15870","-1467","6924","-16920","32","246","61095","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36465","-19730","-23046","2804","-2563","19709","4356","12613","22284","5352","32","246","61120","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36466","-27920","247","27893","-4611","-11011","-2045","-27580","-17396","24039","32","246","61146","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
"36467","1782","-23561","24822","-5379","-25345","-17659","-11965","-9204","-31258","32","246","61172","2020-11-02 15:38:57","2020-11-02 15:39:27","3","DF:DC:EF:28:D6:3E","32","32"
