"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"37628","-24064","-15376","-31484","16127","-30723","-22784","-10780","12542","11517","33","5","19105","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37629","30465","497","-9212","22527","-29443","4097","-20252","12798","-27651","33","5","19131","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37630","32002","11249","22021","-30721","4606","-512","-28188","15358","-2819","33","5","19155","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37631","-27646","31217","-28667","3840","-11266","31744","-31260","16382","14078","33","5","19181","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37632","23554","-3600","15621","20736","-24833","-2305","-29212","14846","21502","33","5","19232","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37633","-4864","-4624","12805","29696","27136","-11521","-25116","13822","20222","33","5","19234","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37634","13311","-18704","10244","31744","-26368","-13569","-19996","13822","15102","33","5","19258","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37635","-5884","-7953","16388","19712","1025","-6913","-15900","15358","6398","33","5","19283","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37636","-6650","1522","8197","7424","3585","1024","-14364","17662","-2051","33","5","19309","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37637","3847","8690","-22267","4352","16896","19968","-13852","19966","-4867","33","5","19334","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37638","9222","-18449","23813","6912","-22017","-31744","-13596","22526","-515","33","5","19360","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37639","5886","-26386","17413","17664","8959","32000","-12316","24318","7422","33","5","19386","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37640","-19459","31731","-6908","23808","28927","19968","-9500","25854","14334","33","5","19411","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37641","24584","9969","-3836","17920","-11520","22272","-6428","29950","13822","33","5","19462","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37642","26622","14062","-19708","5376","21505","-513","-4636","-31234","3838","33","5","19464","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37643","-14846","21236","-5884","10752","10754","-27649","-2588","-26882","-15107","33","5","19488","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37644","1285","21742","-16636","24320","-32254","22783","1509","-24834","26365","33","5","19514","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37645","-30213","10995","4101","28672","9730","2303","7141","-24834","1277","33","5","19539","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
"37646","12551","-28688","4613","30464","4610","23807","12773","-23554","-21252","33","5","19565","2020-11-02 15:40:25","2020-11-02 15:40:54","3","DF:DC:EF:28:D6:3E","33","33"
