"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"38794","28668","-20483","25101","-12032","-31487","-23810","1020","-18683","-7399","34","17","21805","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38795","-18437","-259","-5876","19200","-7936","27902","2044","-9467","-25063","34","17","21830","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38796","-22789","-15619","15117","-26625","29952","-17666","-3333","-6395","24857","34","17","21858","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38797","-27909","-32003","-20211","19455","-24064","20223","-12293","-2043","14361","34","17","21881","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38798","24827","-25091","-8947","13311","-23296","-1793","-21253","3846","10009","34","17","21907","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38799","-27397","-16645","2062","-2306","-25856","-22016","-29957","12294","12313","34","17","21932","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38800","28666","-25606","19470","4863","-12288","21761","27643","23814","21017","34","17","21958","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38801","-1539","-12547","-30961","-11777","-31231","-2303","26363","-26106","-29671","34","17","21984","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38802","7933","22014","2831","17664","20993","22530","-32517","-9466","-9703","34","17","22009","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38803","10495","-24579","-8946","-12800","17921","-29950","-20485","7687","13082","34","17","22035","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38804","-23299","23290","-18164","22529","25601","28930","-2053","24327","-28902","34","17","22060","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38805","11769","19196","-24820","-12543","-15360","-8959","20476","-27641","-8934","34","17","22086","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38806","-20737","24063","-10483","-11519","-29952","4609","-22532","-19449","4635","34","17","22137","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38807","6651","10235","-9717","29185","12544","23296","-4100","-16121","10779","34","17","22139","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38808","-14084","6145","7437","-4352","13568","32255","6397","-14841","8731","34","17","22163","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38809","-23812","18172","10252","19968","15104","-6402","8701","-14073","-742","34","17","22188","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38810","10745","-32256","1037","-15105","16128","-8962","4349","-13817","-13542","34","17","22214","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38811","32509","26621","24589","20479","-18176","30207","-4100","-8697","-22758","34","17","22240","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38812","26871","-10243","27917","6911","13569","2816","-13316","1288","-25830","34","17","22265","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38813","14590","12286","20238","1023","17921","10496","-23556","14600","-26342","34","17","22291","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38814","-16394","3324","28429","9983","-19712","-9473","32252","23048","-27878","34","17","22316","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38815","27132","25088","21006","19967","20736","-15361","23548","27656","-30950","34","17","22343","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38816","-4619","-29956","-5108","-9730","17407","-19969","13564","25608","31514","34","17","22368","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38817","-30216","2562","13582","-28162","-19714","27648","1532","15368","-31206","34","17","22393","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
"38818","4088","-7935","-16882","13566","-14338","-16127","-8709","6664","-15846","34","17","22419","2020-11-02 15:41:31","2020-11-02 15:42:01","2","DF:DC:EF:28:D6:3E","34","34"
