"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"47099","27641","3573","4872","-11774","19711","-23040","28395","1035","-15377","41","7","27330","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47100","25593","1269","8456","27138","-7682","-13568","-4885","523","-1553","41","7","27355","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47101","23033","16885","520","2","-26626","-7936","24556","-1014","15344","41","7","27379","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47102","26873","12277","-14841","27393","-1282","-3840","-16404","-2038","-32528","41","7","27404","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47103","-27143","1269","-19705","-14848","2815","-7680","493","-1782","-17680","41","7","27430","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47104","-2568","1526","-16377","23296","-28673","-13056","10733","-758","-5648","41","7","27457","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47105","26104","7414","-4857","5120","-4353","-17408","15597","2827","2289","41","7","27481","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47106","4347","14068","-10745","-4097","-28672","-20224","16109","10763","4337","41","7","27507","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47107","24060","-28426","-5113","-7169","4353","-26880","14317","19211","3825","41","7","27532","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47108","8700","18422","-9977","-9217","23553","11264","7661","29707","-5136","41","7","27558","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47109","-25351","-13325","-6137","8192","-29951","-14081","1005","-27893","-17680","41","7","27583","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47110","-32010","-29965","21769","-13056","-17151","-25601","-2068","-19445","31472","41","7","27609","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47111","-1544","27128","23051","-20479","-29950","-15361","493","-6901","9456","41","7","27635","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47112","25851","23031","-5880","29186","5123","-12033","8685","9996","-17425","41","7","27660","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47113","21494","19187","-14585","-28926","30978","-5633","21997","26124","23791","41","7","27686","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47114","-7689","-24073","-3575","15362","-6399","12288","-30483","-23540","3823","41","7","27711","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47115","-17413","15352","-11001","-26623","9473","-28672","-16659","-11252","-4882","41","7","27737","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47116","3575","27379","-30458","-5120","7936","-32000","-5139","-3828","-4882","41","7","27763","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47117","26615","-29705","-12023","31488","2304","21504","2542","-1012","-1810","41","7","27788","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47118","3579","-19976","26376","23040","7424","17152","6894","1037","-786","41","7","27814","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47119","10486","-22541","-5625","29184","13568","12288","10990","2829","-18","41","7","27839","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47120","-13835","760","3595","-18688","24832","-29440","16878","8717","-530","41","7","27865","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47121","12793","-264","28169","10497","28417","-8448","25326","21261","-2578","41","7","27891","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47122","27892","11509","25353","-19711","-23807","12033","-27410","-25331","-7186","41","7","27916","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
"47123","26866","-26378","-18677","15618","-13310","-31743","-8722","14","-11282","41","7","27942","2020-11-02 15:50:09","2020-11-02 15:50:38","3","DF:DC:EF:28:D6:3E","41","41"
