"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"49452","-3844","5873","27908","-2044","-2041","14586","-4884","25090","-31419","43","9","34338","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49453","-13060","-2575","1796","30468","-25852","-24580","31725","32514","25668","43","9","34367","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49454","25853","20466","13572","31747","5890","-31746","-2323","-27390","-11965","43","9","34391","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49455","27902","-27150","-12285","-22526","-31232","25599","23278","-25854","-25789","43","9","34415","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49456","29438","3058","25348","-18431","-32513","27903","-24594","-30462","-29629","43","9","34441","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49457","11262","-28431","-2813","-26880","9471","-2","-16658","25090","-30653","43","9","34466","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49458","-4354","26098","-16893","-5634","17407","12543","-23826","13826","-32445","43","9","34492","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49459","-23045","-22798","-25085","-29699","-20738","29439","19438","2050","-29117","43","9","34543","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49460","11263","28401","-5884","16125","-23043","-8705","-8723","-14335","-15549","43","9","34545","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49461","-21246","-1552","29445","14077","-5123","-15105","27629","-30719","-1725","43","9","34569","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49462","-12289","-23825","10757","24317","-30212","19456","493","14081","21060","43","9","34594","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49463","-27653","5872","-24828","-5636","26107","1281","-28180","-7680","-7612","43","9","34622","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49464","-15877","-26637","3078","-32260","-29446","23041","3308","-30208","-26043","43","9","34646","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49465","-23548","-16652","11014","-6405","23033","25601","29419","8448","-11079","43","9","34671","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49466","19718","-18194","25094","9211","-10249","-6399","-18966","-24065","-5702","43","9","34697","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49467","-11524","12525","-2041","-13574","9206","-31742","-7703","6655","17596","43","9","34723","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
"49468","-12546","5108","18441","22522","8950","13059","-2584","-22018","-13123","43","9","34774","2020-11-02 15:52:23","2020-11-02 15:52:53","4","DF:DC:EF:28:D6:3E","43","43"
