"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"52980","-3834","-1785","-14839","-24577","17408","-14849","-30706","7157","-14123","46","254","50388","2020-11-02 15:57:59","2020-11-02 15:58:29","1","DF:DC:EF:28:D6:3E","46","46"
"52981","8967","-22009","9482","15615","2816","17152","27918","7157","-12843","46","254","50414","2020-11-02 15:57:59","2020-11-02 15:58:29","1","DF:DC:EF:28:D6:3E","46","46"
"52982","2056","-32761","26122","11775","3840","-29184","17678","4597","-8235","46","254","50437","2020-11-02 15:57:59","2020-11-02 15:58:29","1","DF:DC:EF:28:D6:3E","46","46"
"52983","-9208","27911","31498","15615","6656","30464","6926","1781","-2603","46","254","50463","2020-11-02 15:57:59","2020-11-02 15:58:29","1","DF:DC:EF:28:D6:3E","46","46"
"52984","2569","-29689","-3318","26111","6912","9216","-1523","501","726","46","254","50488","2020-11-02 15:57:59","2020-11-02 15:58:29","1","DF:DC:EF:28:D6:3E","46","46"
"52985","-23544","-8698","-28662","30975","-5121","-19969","-6899","757","-43","46","254","50514","2020-11-02 15:57:59","2020-11-02 15:58:29","1","DF:DC:EF:28:D6:3E","46","46"
"52986","-26616","-30970","4107","20479","-20737","7167","-9715","2549","-7723","46","254","50540","2020-11-02 15:57:59","2020-11-02 15:58:29","1","DF:DC:EF:28:D6:3E","46","46"
"52987","-23288","-24824","-16886","29695","-7169","8447","-11507","5621","-17195","46","254","50565","2020-11-02 15:57:59","2020-11-02 15:58:29","1","DF:DC:EF:28:D6:3E","46","46"
"52988","24325","7943","-15608","-32513","-6401","-2562","-12019","9717","-26667","46","254","50591","2020-11-02 15:57:59","2020-11-02 15:58:29","1","DF:DC:EF:28:D6:3E","46","46"
"52989","27652","26886","-19703","15615","-14337","-11778","-13299","13813","27605","46","254","50616","2020-11-02 15:57:59","2020-11-02 15:58:29","1","DF:DC:EF:28:D6:3E","46","46"
