"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"1187","-503","23802","5385","11519","-14849","-31745","-25612","-1043","-16953","2","255","47023","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1188","-30199","-26886","-25335","3071","26111","-28673","32500","-7187","-19769","2","255","47047","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1189","32265","-11526","266","-1026","19967","-7169","21492","-13587","-18233","2","255","47075","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1190","-27383","13051","32010","-9218","22527","14080","6644","-18195","-12601","2","255","47098","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1191","-22007","22268","-16629","-15874","-23809","28672","-10765","-20243","-4921","2","255","47124","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1192","3592","-17926","-10229","-15106","-20993","30464","-28429","-20499","3528","2","255","47150","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1193","11791","24060","6157","11007","13824","29952","24051","-18195","8904","2","255","47175","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1194","-11505","8189","17421","-30977","31232","7680","17907","-15635","9672","2","255","47201","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1195","-12534","-14346","11531","-10497","25856","-14593","19699","-12563","4296","2","255","47226","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1196","-23794","-6916","-32500","19200","-15360","-26625","28147","-8467","-5433","2","255","47252","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1197","-7925","-12034","14860","-14336","-29440","-20481","-24333","-4883","-15161","2","255","47278","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1198","-3316","27134","16395","2561","24832","-19201","-9485","-2323","-22073","2","255","47303","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1199","-13555","-20230","-18166","3841","14592","-14849","4852","-1811","-27193","2","255","47329","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1200","16905","-19211","13065","-8448","15360","-23041","18676","-1555","32455","2","255","47354","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1201","-505","763","-15608","-19712","12544","31487","32500","-1299","24263","2","255","47380","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1202","-2036","27902","-503","-22784","14080","20991","-21004","-1555","16071","2","255","47406","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1203","19465","13046","32009","-29184","-7681","20479","-8972","-4883","7623","2","255","47431","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1204","-6650","-25605","-8184","25088","-19457","25087","1525","-9491","-58","2","255","47457","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1205","-25588","32509","16906","11008","-9985","-18689","5621","-12563","-2618","2","255","47483","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1206","2567","4854","-12536","-22273","17920","6656","6133","-12307","-4922","2","255","47508","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1207","-16375","2815","-11509","10495","20481","29952","1781","-1555","-7738","2","255","47534","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1208","-17908","-4360","-29940","14591","-3583","-15360","-5132","17646","-10554","2","255","47559","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1209","-2552","-9222","25611","-16129","-8191","29952","-3596","-26898","-17978","2","255","47585","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1210","-29680","-4351","13068","5888","8194","-3842","8693","-11026","31174","2","255","47636","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1211","-27882","-5380","29193","-2306","28931","-26630","-17163","-5650","-31547","2","255","47638","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1212","18710","-27648","-13045","6142","11012","2039","-12042","-4626","-24893","2","255","47662","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1213","-240","-27906","30477","-18691","-26365","31220","11768","-10514","14017","2","255","47687","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1214","3343","-20484","4113","21758","-18430","-5902","-11271","-18450","28094","2","255","47713","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1215","15114","-10244","-23531","-19713","-1278","29683","-20741","-19474","-26437","2","255","47739","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1216","777","6905","18709","15105","-25340","-2060","-30723","4335","-21179","2","255","47764","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1217","18440","24311","-32237","3587","-5884","-2827","22015","-14865","31299","2","255","47790","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1218","-24824","26104","5904","11268","19205","20726","7425","-27920","-28351","2","255","47815","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
"1219","25099","14841","-7412","8964","-29434","15606","-14334","-23311","-9409","2","255","47867","2020-11-02 14:47:04","2020-11-02 14:47:34","0","C7:F7:8F:B2:48:BE","2","2"
