"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"2369","-5371","1534","-2548","-6401","9728","-30209","-17157","3573","7426","3","253","30741","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2370","-9979","-2563","-6132","-11777","7424","-24577","-16133","4597","2306","3","253","30764","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2371","4870","766","-9460","-17153","1280","-16897","-16645","4853","-1023","3","253","30790","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2372","-507","8190","2829","-15617","512","-19969","-17669","4853","-4351","3","253","30815","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2373","3845","-30978","13837","-9473","14080","-26113","-17157","5109","-8703","3","253","30841","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2374","-11771","-22276","-23284","-5889","-16129","-15617","-16133","5365","-12287","3","253","30867","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2375","30980","-10753","-26611","-9985","-4609","-4353","-16901","5109","-13311","3","253","30892","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2376","516","30719","-7923","-15873","-13313","0","-18693","4085","-12543","3","253","30918","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2377","-6648","14335","-31988","-15361","7168","-9217","-20997","3573","-13311","3","253","30943","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2378","30213","-10497","-24050","-24577","-6913","-14849","-22789","2805","-15615","3","253","30969","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2379","-18429","-4100","2573","-22785","-10753","-14337","-24581","2293","-18175","3","253","30995","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2380","-1789","-22531","17421","-19969","-18433","-30977","-25605","501","-21759","3","253","31020","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2381","29191","-1536","14606","-12033","-6913","30719","-25093","-1292","-26879","3","253","31046","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2382","29449","-23807","32270","-8705","3584","-30209","-23813","-1548","-32767","3","253","31071","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2383","22531","-8197","27404","-9473","-7937","-14849","-23045","-2572","28673","3","253","31097","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2384","-9982","-20229","11020","-14337","-20993","-7169","-23301","-5132","26881","3","253","31123","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2385","-26614","17922","31246","-9985","-5377","-5633","-24581","-5900","25857","3","253","31148","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2386","-7674","-17156","-31988","7424","7169","-11009","-23813","-780","23809","3","253","31174","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2387","24072","-4102","2316","7168","18690","15359","-16645","14325","13569","3","253","31201","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2388","-3565","27393","-8947","26879","8962","-27650","-11525","-30731","-3328","3","253","31225","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2389","32524","5370","-2038","-24835","-16641","-3588","-15877","-31755","-30464","3","253","31251","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2390","-30961","-774","29713","27132","8959","9210","-26117","13045","-13825","3","253","31276","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2391","-17137","21248","11541","23294","8448","-1290","-13061","-6412","30974","3","253","31302","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2392","4621","4348","16150","21250","13823","24053","-16132","-26380","-16900","3","253","31327","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2393","2055","-14591","-3305","-31995","14078","23540","24830","12788","-12550","3","253","31353","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2394","-22014","17153","6936","-8441","22525","-2830","-28672","-10765","-25864","3","253","31379","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2395","-17150","-6913","-25579","-4087","23292","10226","15363","-28173","9206","3","253","31404","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2396","-7172","-29951","-9709","2316","16636","25586","18182","-30477","-28429","3","253","31430","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2397","22262","-13821","-6896","15630","-20227","-21004","31753","-9741","20209","3","253","31456","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2398","13301","-20219","-28658","9231","-7426","15353","31756","25588","-10769","3","253","31481","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2399","13811","-9979","-2803","32271","-12291","11007","8975","32756","9455","3","253","31507","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2400","-28686","-31228","16395","11792","-30722","-27644","32529","9972","15855","3","253","31532","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2401","32498","25858","1034","-9969","27135","-15350","30483","13811","6384","3","253","31558","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2402","19700","24831","-14587","19983","-29952","25873","-8684","32497","-14863","3","253","31584","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2403","-30736","3582","-4603","-24819","-14850","3353","28437","-11282","14068","3","253","31609","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2404","763","-22026","13058","-18421","-31489","7456","22804","-2070","8184","3","253","31635","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2405","31738","-15120","23299","6668","28420","10019","-14577","25063","-30721","3","253","31660","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2406","1535","24557","-1791","-23285","266","3877","18693","-11803","-1012","3","253","31686","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2407","-11517","-29719","8450","21001","10256","-20957","-15878","-25","17946","3","253","31712","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2408","7431","26343","31238","-23802","23316","32030","7670","31724","10017","3","253","31737","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2409","12042","-28698","13834","8197","3095","12823","-12044","21489","7972","3","253","31763","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2410","8204","-12315","-10225","11779","23579","-7411","-1036","8694","-16092","3","253","31788","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2411","3859","27367","-4078","15106","7706","-19967","-29707","11770","-10973","3","253","31814","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2412","-9199","31973","10260","9478","-28133","18928","-24330","12285","-8416","3","253","31840","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2413","-26608","3553","17681","24844","-13793","10465","21752","-513","-28901","3","253","31865","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2414","-16879","-8994","26889","-5362","-30947","19157","-3847","-25598","-27628","3","253","31891","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2415","-32759","29917","-12284","7181","32030","-30775","26362","-14588","-1525","3","253","31916","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2416","29694","2265","12555","-18674","-10214","15039","-24583","-18938","27393","3","253","31968","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
"2417","24299","24022","23322","-22515","-26608","-32065","15352","30470","24310","3","253","31970","2020-11-02 14:48:56","2020-11-02 14:49:26","1","C7:F7:8F:B2:48:BE","3","3"
