"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"3547","7949","24572","15624","-15873","-4353","11776","29431","-23576","-21488","4","248","19379","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3548","-7924","-26884","25864","-13825","8960","4608","25591","-22296","-19952","4","248","19405","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3549","-2036","-29188","29448","-8193","0","9216","22263","-20504","-18160","4","248","19432","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3550","-9972","30972","25096","-3841","6400","2816","20471","-18968","-16880","4","248","19456","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3551","-8181","16380","18952","-2049","8448","4864","18935","-17176","-15344","4","248","19481","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3552","4108","27130","-8953","2816","-11521","17408","16375","-15128","-12016","4","248","19507","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3553","5647","8703","17929","5888","17152","20224","11511","-13080","-5616","4","248","19533","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3554","-4848","-6914","26633","10240","12544","8960","8951","-12312","-1264","4","248","19558","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3555","25355","-9480","263","9728","-10241","-11521","10487","-13592","-1008","4","248","19584","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3556","9489","-4611","-21240","4096","14848","-13825","14583","-12824","-5104","4","248","19609","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3557","22547","-28673","30472","-7937","-1025","-4353","15351","-13848","-6896","4","248","19635","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3558","4628","-22017","-10488","-18433","1792","-12033","15095","-14872","-9456","4","248","19661","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3559","19731","17662","-13304","-11265","5888","-4865","14327","-15640","-11248","4","248","19686","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3560","-6132","13819","14088","-5633","11008","-1793","14583","-15384","-13296","4","248","19712","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3561","12293","-13320","6664","-6145","0","-6145","15607","-15128","-16112","4","248","19737","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3562","3590","-775","24328","-7425","-10753","-7681","15863","-14872","-17392","4","248","19763","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3563","-32497","-11778","29704","-13313","-3585","-20737","16631","-14360","-19952","4","248","19789","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3564","790","19456","-3064","-7169","8960","-23809","20471","-14104","-26096","4","248","19814","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3565","4878","14588","-19192","-257","6912","-20737","26103","-14872","31760","4","248","19840","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3566","-18429","-22023","-19704","9472","-2561","-15873","32759","-16152","25360","4","248","19866","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3567","18183","-32003","1035","22784","-20481","1536","-28169","-15896","23312","4","248","19891","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3568","-7667","15877","15631","9217","-16387","-2560","31991","-21784","-25840","4","248","19917","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3569","-5116","-15355","-24047","31490","-15881","-32253","-20234","1512","-7151","4","248","19944","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
"3570","-23042","3078","-4077","23300","-32010","10503","-20748","9959","-14060","4","248","19968","2020-11-02 14:51:57","2020-11-02 14:52:27","2","C7:F7:8F:B2:48:BE","4","4"
