"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"5909","-13052","27395","12270","11008","-10241","-11009","17729","-27909","305","6","13","25849","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5910","-14588","21507","-19","14592","-8193","-7169","20033","-26885","1329","6","13","25875","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5911","-4860","18435","-12051","8192","-5633","-4865","22081","-26373","1841","6","13","25898","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5912","-14844","18947","-3347","-2561","-7169","-6657","22593","-25861","2353","6","13","25924","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5913","-9980","-8702","5358","-6657","-16641","-9729","21825","-24325","2865","6","13","25949","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5914","6660","-13052","28398","-4353","8448","-14849","21313","-23045","4401","6","13","25975","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5915","1799","-25340","2542","-4353","17408","-8961","20545","-21253","5425","6","13","26000","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5916","24068","-29178","3823","-4609","-10497","-10241","19777","-19205","6193","6","13","26026","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5917","-26361","-8958","-22035","8448","-3585","-2817","20289","-17413","6705","6","13","26052","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5918","4868","-24826","-28177","8448","-8705","4608","22081","-16901","6193","6","13","26077","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5919","-30973","-23804","-19474","6912","-21761","6400","24129","-15877","4657","6","13","26103","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5920","-1531","25862","-18","6912","-11009","-3585","26177","-14853","3889","6","13","26129","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5921","-26105","-18682","-4626","6400","-15361","-12545","28225","-12549","4913","6","13","26154","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5922","-29438","14592","-19988","-257","-10497","-20737","28225","-10245","7217","6","13","26180","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5923","18436","-10750","-18963","-12801","-26369","-22273","25921","-8197","10033","6","13","26205","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5924","-6650","30982","20719","-12545","-22273","-16641","25153","-3589","12081","6","13","26231","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5925","19967","26879","-3092","-20993","22015","0","21569","764","12337","6","13","26257","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5926","-19447","-15609","-1553","30207","13311","27136","18497","8188","8241","6","13","26282","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5927","-3843","1792","15087","-15361","23295","27648","15425","13564","1585","6","13","26308","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5928","7179","-8955","29684","27392","-12801","-20481","16961","14588","305","6","13","26333","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5929","-7168","29954","-28936","-5631","-30722","26622","27969","26876","9009","6","13","26359","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5930","-20737","23805","-27395","-26875","-23300","2813","-2751","-11780","27185","6","13","26385","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5931","7681","-12287","-3583","12045","22781","30970","25923","29437","50","6","13","26410","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5932","-16665","9722","3320","2070","-5380","9979","11590","-6403","-9166","6","13","26436","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5933","-26648","30456","-7962","-7911","32245","11011","20925","22015","1075","6","13","26461","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5934","18401","27892","28889","8217","-516","27922","15297","513","31025","6","13","26487","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5935","-13844","19694","-22314","-4846","-23795","25630","16324","-12031","24109","6","13","26513","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5936","19702","-29980","-4390","19723","275","18215","-5435","11010","10279","6","13","26538","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5937","-21499","15326","9943","3073","6667","-16089","-1339","32003","-19936","6","13","26564","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5938","12555","-27940","-30254","-12044","-16377","24864","4804","-4604","16155","6","13","26589","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5939","-29167","10971","13271","-24088","-17144","-4843","21440","11525","-746","6","13","26615","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5940","-27890","-32292","15840","-10271","-6389","-247","-16197","-8957","31764","6","13","26641","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5941","-13816","-5664","25323","-6435","-16116","29952","-31933","-7679","-3821","6","13","26666","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5942","5","-28189","-30988","27615","14609","6650","-24002","-18433","1301","6","13","26692","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5943","7688","-8991","-5","9441","-3570","32755","-5831","1022","28695","6","13","26717","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5944","26639","-1057","19206","-31776","19713","29417","5173","-16898","18202","6","13","26743","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5945","-15599","-24354","12049","2022","-1282","15322","-15568","-32254","2077","6","13","26769","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5946","23796","23248","31518","-29186","-8944","26820","10032","17928","-25822","6","13","26794","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5947","30647","-18479","6666","-11231","-25316","-26673","-457","-19444","25900","6","13","26820","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5948","6611","223","-12040","12847","-20463","9974","-19135","-8949","-10447","6","13","26845","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5949","-8978","20709","228","21297","25354","-22025","27069","9482","13363","6","13","26871","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5950","-5154","-22804","-12329","-22230","14614","252","-24636","25607","32051","6","13","26897","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5951","-26906","31987","-22304","-16867","1043","31761","3529","-21499","30000","6","13","26922","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5952","-24846","16120","19171","29462","3352","24091","30667","-1787","25643","6","13","26948","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5953","-28939","12523","-24863","-24302","-9962","12321","-18740","-6138","13349","6","13","26973","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5954","17158","-24358","3543","-14834","-496","14376","-4916","23305","-10722","6","13","26999","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5955","11560","-4129","-10812","9475","24853","-20964","18891","7435","22296","6","13","27025","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5956","-20200","25307","-2867","-18450","21784","-9981","-11321","19721","-4845","6","13","27050","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5957","-3308","15053","-13860","-11813","-25068","32507","195","-3067","29458","6","13","27076","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5958","3091","11190","-28951","-31541","18704","1769","29628","-32510","4116","6","13","27102","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5959","-12026","15534","7935","-4410","30216","-26401","20545","-5632","-25064","6","13","27127","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5960","-9456","26044","13341","11477","14090","-11811","20282","-29695","-7651","6","13","27153","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5961","-1029","9934","-29641","-12039","21002","-18728","-25289","-27133","31267","6","13","27178","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5962","10710","-7216","5389","-4838","14593","32211","26683","-14074","29225","6","13","27204","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5963","19095","27861","16358","-8920","-30200","5593","-15805","23560","-22736","6","13","27230","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5964","172","12536","727","-12772","-21501","15356","-21571","9992","-27853","6","13","27255","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5965","5078","23046","-5904","-14569","-13556","3341","-9792","-26617","-1743","6","13","27281","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5966","21471","-2305","19456","-3049","-15595","22809","11971","8710","-13523","6","13","27306","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5967","-4629","6127","-13315","-23271","-8423","-20697","26565","26885","20007","6","13","27332","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5968","32754","-5422","3318","539","13587","27699","-32569","26374","11039","6","13","27358","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5969","24074","19653","-20000","-231","30477","-716","-4408","-28663","-8170","6","13","27383","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5970","17190","8152","7635","-31732","20760","-2524","20424","16907","-8434","6","13","27409","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5971","-8422","12255","16867","-3337","13594","-15608","-14139","25097","-28151","6","13","27434","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5972","-30199","-13603","-30227","9714","11290","-12809","-31805","29957","-4601","6","13","27460","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5973","-28414","25816","-13323","-26132","-14569","-18448","6337","11777","25608","6","13","27485","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5974","23043","-12840","30456","12266","-9707","-8214","1214","15357","16138","6","13","27511","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5975","-31743","-12840","-1031","-32023","10003","-23067","11706","-13319","-25331","6","13","27537","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5976","21501","19412","-4860","-6426","-8697","20958","-9919","5880","-27374","6","13","27562","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5977","-12547","17372","25371","-3856","5113","-7975","7485","-6407","-4073","6","13","27588","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5978","16358","22994","17178","22031","-27920","-8245","-26308","-8706","23069","6","13","27614","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5979","-22371","16082","14571","2348","-14600","21710","-20926","19715","-14044","6","13","27639","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
"5980","-10592","15869","3784","811","-10248","5878","-5443","5","4137","6","13","27665","2020-11-02 14:56:19","2020-11-02 14:56:49","3","C7:F7:8F:B2:48:BE","6","6"
