"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"15344","30730","-7669","-15369","2815","25592","17407","562","-28175","20261","14","1","32789","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15345","-7927","2828","-14088","19456","12535","10495","-24014","31474","10276","14","1","32813","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15346","-13047","31243","-10761","-25599","32246","-15618","31283","-28429","-3806","14","1","32838","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15347","-29945","28426","-32266","-26111","27897","19966","11316","-27916","6434","14","1","32864","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15348","-18683","-27895","-16139","-18943","-32518","7167","-20172","19701","-29151","14","1","32890","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15349","-14584","27913","20724","-15359","-7173","32256","14645","-11787","-736","14","1","32915","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15350","7430","20487","-19726","-3072","-7427","-15616","-25035","3318","-28640","14","1","32941","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15351","28421","1543","-17424","13568","-11778","29696","-13515","7414","22816","14","1","32966","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15352","-13557","-29684","12020","2816","28926","-28928","-6091","13558","8736","14","1","32992","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15353","-13559","22539","30707","-27648","-3076","-20992","7222","26614","-14561","14","1","33018","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15354","25349","13577","8692","-25087","18940","29952","32054","-17930","20511","14","1","33043","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15355","-6394","-3063","10483","21762","-24067","-10753","-3786","2295","-1250","14","1","33069","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15356","1806","-21236","11763","-25086","-770","-26625","24375","14327","-8162","14","1","33094","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15357","9749","526","1778","17667","-15874","-20481","-8137","24823","-13026","14","1","33120","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15358","1807","3082","-783","6403","17408","17663","23608","31991","-10722","14","1","33146","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15359","-30465","-28411","7923","-27646","9216","-9218","-17864","-29961","31","14","1","33171","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15360","1789","-25595","9712","17922","-22273","6655","2873","-24329","7711","14","1","33197","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15361","24333","13580","7151","12034","-4353","24319","24121","-20233","13087","14","1","33222","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15362","27664","-31733","-25105","-13055","-16385","-14849","-20935","-14857","15135","14","1","33249","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15363","12798","5381","1522","-18688","2816","-5889","-8903","-12041","15391","14","1","33274","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15364","19454","-2555","-17680","-26369","513","-5121","-10695","-18953","19487","14","1","33325","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15365","-23023","-3828","18674","-29441","29953","-8961","-18375","-30217","28447","14","1","33327","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15366","-4592","12041","7667","-26624","25089","-3073","-20679","25335","-28129","14","1","33350","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15367","24320","-13307","31221","-18175","8193","30207","-12231","16631","-17889","14","1","33376","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15368","-9467","-9719","31219","-16382","-17665","14847","6970","16631","-8417","14","1","33402","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15369","12036","20999","30963","-13309","-24067","6399","-24774","32759","-8161","14","1","33427","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15370","-5626","3593","6901","5125","-18179","10751","22331","-5897","-13025","14","1","33453","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15371","8712","8200","1013","10502","-13569","-28673","14140","7928","-14305","14","1","33478","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15372","6154","20485","-13835","6407","28416","-1027","9789","9208","-1249","14","1","33504","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
"15373","-24823","-4859","30709","18442","14080","2556","21054","13304","32544","14","1","33530","2020-11-02 15:19:55","2020-11-02 15:20:24","4","C7:F7:8F:B2:48:BE","14","14"
