"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"16521","25869","1030","-1019","19967","-32513","-25345","-20465","-17429","7900","15","13","49422","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16522","28684","9989","-10745","4863","-32256","4608","-27377","-16149","5596","15","13","49448","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16523","-2548","-6396","14857","-7937","20225","-25344","18191","-10261","23516","15","13","49474","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16524","26637","3845","-8697","-2048","28161","25600","8207","-4885","-22308","15","13","49499","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16525","30476","-11003","17671","5377","-4350","-24065","-1010","15340","3805","15","13","49525","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16526","23051","28679","8199","25088","-5121","-6402","9487","26860","-548","15","13","49550","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16527","-26103","-29690","-10746","-4097","-24833","30719","19471","29676","-12836","15","13","49576","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16528","-25585","31492","9222","9472","-27393","32255","27407","28396","-22308","15","13","49601","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16529","7693","24578","-15868","-14081","-28672","15871","-31985","-32276","-31012","15","13","49627","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16530","26892","-9720","16907","23807","-9984","-5121","25359","-24340","-27172","15","13","49654","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16531","18953","13828","2315","-4353","-5888","768","13839","-17172","-16932","15","13","49678","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16532","-8183","25860","29706","-24576","-28160","-27905","13583","-10004","-11812","15","13","49704","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16533","-30704","-6136","30986","-22528","-6144","-11777","17167","-2068","-6692","15","13","49729","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16534","-19951","-24056","-28409","13824","-6656","11264","14095","5357","2781","15","13","49755","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16535","-254","-18174","10243","-18689","27648","15872","7183","7917","10205","15","13","49781","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16536","-27636","-4091","3338","-24065","9472","2560","271","8685","14557","15","13","49806","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16537","-28141","-11768","-20471","0","2816","-3329","-2034","9709","15581","15","13","49832","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16538","-24574","-17919","2820","17152","-17921","7680","15","8173","14557","15","13","49858","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16539","4882","-12792","11018","8704","-20481","-1","3599","5101","13277","15","13","49883","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16540","25869","-16890","-24315","256","2560","-9473","6415","4845","10205","15","13","49909","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16541","3331","-30975","1798","-23297","17664","-10753","4623","6637","9437","15","13","49934","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16542","-236","-15095","-14326","31231","-16128","28928","-6130","9709","17629","15","13","49960","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
"16543","16646","10756","-19453","8703","-26623","10497","-28914","13805","-26403","15","13","49986","2020-11-02 15:22:19","2020-11-02 15:22:48","0","C7:F7:8F:B2:48:BE","15","15"
