"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"27161","-5130","-6654","6922","-12801","-12034","0","17416","-22002","-13605","24","254","63927","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27162","-27146","10243","15114","-4353","-8962","4352","13064","-30450","-17189","24","254","63953","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27163","5879","23555","20490","7936","18430","7168","8968","17934","-24613","24","254","63979","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27164","16119","-23549","12554","9472","4607","13056","7688","4622","-28965","24","254","64006","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27165","8951","13572","522","23040","23295","25344","9736","-4083","-29733","24","254","64029","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27166","19191","-2559","20234","15872","-28161","-31488","15368","-9459","-25893","24","254","64055","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27167","-26892","-5629","-32501","-11009","5887","31488","18952","-14067","-21029","24","254","64080","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27168","-11022","-19967","22027","-26881","23294","26624","16904","-25075","-19749","24","254","64106","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27169","31997","22279","29962","-19201","15359","26880","12296","27405","-20261","24","254","64132","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27170","758","4612","524","-4353","4096","-1025","11784","23053","-19493","24","254","64157","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27171","17651","-13823","-30198","-16385","-28672","-21249","10760","28429","-18725","24","254","64183","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27172","17909","-19964","23564","-30209","26112","22527","4872","-29683","-21797","24","254","64209","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27173","8958","11272","-18675","-21761","-3329","-32001","-3065","-25075","-27941","24","254","64234","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27174","24825","-12032","6151","-11009","5376","-7681","-7673","-23795","-31781","24","254","64260","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27175","-8721","-31999","19211","-30465","31743","-513","-11513","-26355","32475","24","254","64285","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27176","11519","26631","-26867","-28417","21503","6912","-18425","-31475","30171","24","254","64311","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27177","20464","-259","-19959","7936","17663","22272","-19961","26125","29915","24","254","64337","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27178","-2308","26632","29454","-20736","-24321","-30976","-14073","19725","32475","24","254","64362","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27179","-21261","-32002","-15610","-7168","-6145","-12544","-1785","16141","-26149","24","254","64388","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27180","-4101","14856","-1780","28928","-12033","-24576","9480","12045","-18213","24","254","64413","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27181","8438","19711","1798","-1","27647","25856","12296","7437","-15141","24","254","64439","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27182","4602","32007","14349","-16129","22527","7936","11016","13","-15141","24","254","64465","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27183","6136","-5121","-27386","-13057","20735","8704","6664","-5620","-17701","24","254","64490","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27184","-19721","2566","-2804","-10753","-29185","9728","5128","-12020","-17957","24","254","64516","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27185","15093","26626","-19445","-11009","6655","2048","2824","-17908","-18981","24","254","64541","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27186","24311","-24315","11020","-28161","-10754","-10241","-2553","-26100","-23589","24","254","64567","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27187","15864","7169","-30453","28415","22014","-14081","-12025","26892","-31525","24","254","64593","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27188","-26122","22786","3340","-20481","9215","-8449","-19193","18444","28379","24","254","64618","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27189","-21511","15107","-11509","-19457","26622","28672","-23545","268","23003","24","254","64644","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27190","-9480","-9213","-32758","16896","24063","14080","-23033","-9461","23259","24","254","64669","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27191","-19463","-25596","-25591","-14848","27646","-10241","-19705","-22773","18139","24","254","64695","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27192","-1287","-30973","-16121","18176","9466","-2306","-24313","8715","-3878","24","254","64746","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27193","-30215","-11007","10247","20222","28663","26878","13831","7690","18906","24","254","64748","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27194","-30982","5121","25864","508","10747","8191","32006","13065","-17447","24","254","64772","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27195","21499","16384","12553","-23045","-29184","-18689","-16123","2057","-26151","24","254","64798","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27196","19194","-4352","31238","-6661","22016","-18434","5637","12041","-32039","24","254","64823","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27197","15863","-24319","-29950","-28166","-24322","29949","12804","8713","7641","24","254","64849","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27198","-6671","22270","-20481","-4106","2","-17410","-2558","16905","-13352","24","254","64874","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27199","13294","13564","17667","-784","-12795","8194","6657","3082","-1576","24","254","64900","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27200","7149","-15623","19466","28910","3847","-19708","-14850","7947","-26407","24","254","64925","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27201","-25880","16121","-15858","13808","-247","10246","-26628","-19188","25818","24","254","64977","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27202","4068","-4869","-26351","11250","29443","8200","-2566","-2547","29915","24","254","64979","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27203","7655","27641","-24558","-14094","-27905","-32244","5626","-32754","25565","24","254","65002","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27204","30187","-27149","-8167","-14604","-19711","9746","-2055","14607","19680","24","254","65028","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27205","498","-11281","11804","-27909","-3833","-30697","25595","-14320","15844","24","254","65054","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27206","-6409","-9490","4377","29952","30984","-15848","-19458","-28398","14313","24","254","65079","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27207","3072","31729","6932","-10494","-16637","-20460","-16638","14867","21486","24","254","65105","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27208","18689","7158","25103","-13309","9472","30222","2566","-9454","5874","24","254","65130","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27209","-22525","15609","-24312","21506","-18180","-5367","9992","274","23540","24","254","65156","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27210","-11004","-18694","-5882","-26880","-27657","-31226","-1016","-25840","22261","24","254","65207","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27211","-12535","2299","20739","15616","-15114","15361","-4344","1039","14837","24","254","65209","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27212","-25334","19451","22012","32508","-10508","-30471","-7161","-17651","-5645","24","254","65233","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27213","-18684","-6914","-5890","14333","-18944","-29453","10502","-22259","-1295","24","254","65258","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27214","-18430","-14854","15097","-6151","6651","19441","-8957","30221","8943","24","254","65284","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27215","-11263","20727","1273","-21262","2553","-1554","-31744","-22260","-277","24","254","65309","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
"27216","4606","-9739","24571","4590","29437","19436","18940","-10229","-19224","24","254","65335","2020-11-02 15:39:37","2020-11-02 15:40:06","1","C7:F7:8F:B2:48:BE","24","24"
