"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"28322","-24577","-13821","11277","-31744","7938","-15104","6407","-1537","31199","25","225","17100","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28323","22783","-22781","-12020","9472","-31488","-22528","9991","9984","-22561","25","225","17126","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28324","-19201","12548","-2804","-23041","-256","31232","7431","19200","-12321","25","225","17153","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28325","768","-5117","-5620","30975","-513","-5889","2311","18944","-11809","25","225","17177","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28326","30719","4099","6669","30207","23296","-21249","-3066","22016","-13345","25","225","17203","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28327","27134","-16124","31245","-30977","-11008","-4097","-8698","26880","-13601","25","225","17228","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28328","-1023","14597","-17396","-22017","-24320","10240","-13306","29440","-11553","25","225","17254","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28329","20479","-9722","-32242","-21761","19456","-13057","-17146","30720","-11297","25","225","17279","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28330","-12030","-8190","27148","-14337","16896","-23297","-20218","-32000","-13601","25","225","17305","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28331","-9985","-2297","-27634","-10241","18944","32511","-22522","-28928","-17185","25","225","17331","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28332","11263","-30969","14095","-7681","10496","-27137","-23802","-25088","-20513","25","225","17356","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28333","3074","-14585","-11251","1536","7424","-19201","-24826","-22784","-23585","25","225","17382","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28334","-25345","-28416","19468","26368","4096","-14081","-22778","-20992","-25889","25","225","17407","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28335","25084","-3325","5902","30464","-12801","-21249","-17658","-21760","-28705","25","225","17433","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28336","-16894","-13564","524","22272","1024","-19713","-14586","-20992","-31777","25","225","17459","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28337","-27397","17922","13582","-4609","-11777","-22273","-12794","-20736","30687","25","225","17484","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28338","20482","516","-2293","-18689","-13826","-25345","-16634","-26112","24799","25","225","17510","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28339","-22787","29189","29966","-17153","-8962","-32001","-18682","27648","16607","25","225","17535","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28340","-26113","-8193","-32501","-2305","-3330","-20481","-20986","20224","9695","25","225","17561","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28341","-6398","-18680","22285","-9473","-8450","-24577","-21498","9984","3295","25","225","17587","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28342","-26884","20735","1804","26367","24830","23039","-25082","-1281","-6434","25","225","17612","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28343","4356","22789","-15862","-10242","23806","13823","29702","-14849","-18466","25","225","17638","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28344","-1027","21252","12301","31742","-27650","15359","17414","-27649","-31010","25","225","17663","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28345","26879","-22274","-27382","28670","-9474","29183","774","29183","25054","25","225","17689","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28346","-18691","25342","-31733","-14851","-16642","-26625","-18171","19711","17118","25","225","17715","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28347","-22785","28933","9229","-23044","22270","-3329","17925","4863","11998","25","225","17740","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28348","17918","19202","18702","9724","32766","2048","-19196","-9474","9438","25","225","17766","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28349","17154","15107","-24563","-22788","3328","-24833","9988","-16130","6622","25","225","17791","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28350","512","-32510","-2802","5629","25089","-21249","-21757","-10498","3038","25","225","17817","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28351","31233","-2817","-29168","-26115","11265","-5633","16899","1791","3550","25","225","17843","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28352","21760","-16896","-3824","30462","-21760","21759","-2302","10495","734","25","225","17868","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28353","-17920","-25344","13073","7423","-7680","255","-14078","16639","-6435","25","225","17896","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28354","-9727","24832","-30192","23040","-28159","-25090","-16638","29183","-16163","25","225","17919","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28355","-13569","-17152","-23793","-14079","-5119","14846","-4350","-15105","-31011","25","225","17945","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28356","30463","-5632","5391","-15870","-17408","-29442","19203","-769","20445","25","225","17971","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28357","-31744","28417","14349","-24573","28416","-29442","-13565","5888","7645","25","225","17996","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28358","-6400","-30975","7436","-25597","5120","-15619","22532","12032","-10532","25","225","18022","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28359","-22527","-21503","-3575","-5886","-29953","-31236","-11004","14848","25820","25","225","18048","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28360","22529","-5888","26886","-1023","-28930","5626","11781","15616","-23333","25","225","18073","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28361","-30469","27391","-20991","23552","10749","26359","22277","11520","27866","25","225","18099","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28362","14832","4094","25854","19194","26876","-10247","-6396","0","9689","25","225","18124","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28363","23017","-20486","-11262","-1807","21758","-3581","16643","-14593","-40","25","225","18175","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
"28364","-13074","-17419","13315","4588","-9986","-15605","32512","-24065","27098","25","225","18177","2020-11-02 15:45:16","2020-11-02 15:45:45","2","C7:F7:8F:B2:48:BE","25","25"
