"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"36580","-19964","26882","-3828","14080","-30721","6656","-2301","-26376","-17105","32","255","19351","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36581","-2556","19714","-12532","13312","-20993","7424","-253","-30472","-16337","32","255","19376","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36582","-2044","18434","-9716","12800","-8449","8960","1540","32504","-15569","32","255","19403","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36583","9733","18690","-11508","7680","-8449","14336","2564","30968","-13777","32","255","19427","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36584","20485","-255","-6132","-3585","-20737","7424","2308","28152","-12497","32","255","19453","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36585","-26876","19971","29965","-5889","-6145","13056","1028","24824","-11473","32","255","19478","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36586","-16123","-11260","12558","-769","-10241","14080","4","20984","-9937","32","255","19504","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36587","6403","8195","4109","5376","30975","15104","260","15864","-7889","32","255","19529","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36588","-23288","-21244","-31219","8960","-26113","2304","1028","10744","-7377","32","255","19555","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36589","-2557","-508","25613","1280","23551","6912","2308","4344","-8145","32","255","19581","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36590","22532","6661","21773","2816","32767","3584","3076","-1033","-8401","32","255","19606","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36591","26375","-32762","18445","8192","-25857","-769","4100","-5897","-9169","32","255","19632","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36592","-9724","26110","13836","8192","-17409","512","5636","-9225","-9681","32","255","19657","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36593","29189","-1275","13069","6400","-12033","-1793","7428","-11785","-10705","32","255","19683","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36594","-7676","-5122","22540","16128","9728","3072","8708","-11529","-10193","32","255","19709","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36595","25863","22535","27405","11264","25088","21248","10244","-9481","-7121","32","255","19734","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36596","-2814","12798","9996","7680","25600","20736","10756","-6153","-3025","32","255","19760","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36597","-5881","9732","9997","7168","16896","3840","9732","-3081","-209","32","255","19785","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36598","31748","24837","1037","8448","4352","5632","12292","-2569","-465","32","255","19811","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36599","-8447","-3842","6413","10240","13312","-13568","11780","-1289","4912","32","255","19837","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36600","16386","-9719","-9968","-7425","23807","12291","4868","-5129","25392","32","255","19862","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36601","23549","29708","10772","-23297","19197","21767","-14845","-30217","15665","32","255","19888","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36602","-24577","26120","-24555","26368","-25860","5131","17155","-6922","-20430","32","255","19913","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36603","-30714","-17909","17689","8195","-20996","-14067","-16382","12790","-18636","32","255","19941","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36604","11019","-9731","-22247","12552","14332","-17906","-24318","28149","7735","32","255","19965","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36605","8458","-10504","-14825","29454","-14086","-7158","27139","30196","14393","32","255","19990","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36606","28683","12275","27664","-10221","-10501","17413","30725","-28941","27962","32","255","20016","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36607","-13809","-25354","2825","5141","4860","-1537","31496","-8718","-22726","32","255","20041","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36608","15889","18423","-24832","-16881","-25352","11256","-7413","18162","32313","32","255","20067","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36609","1040","-3338","18936","28166","-11016","20975","4879","20466","-24522","32","255","20093","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36610","-15092","-11271","-14088","14589","-4355","-28695","-1264","-8717","27187","32","255","20118","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36611","-246","-15622","24569","-6923","1019","-13597","-26863","3318","-15569","32","255","20144","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36612","16384","27391","-6657","30451","-13062","5600","18193","-13064","-26581","32","255","20169","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36613","-30216","-765","2816","26613","-6662","16611","-25072","26875","32039","32","255","20195","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36614","-22284","14087","512","-15116","-30983","-27925","-27121","19453","10276","32","255","20221","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36615","-8712","18437","-20992","496","-18442","28148","-18419","-18691","-29919","32","255","20246","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36616","9721","15616","22022","-6162","1278","18426","18699","-15875","5408","32","255","20272","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36617","-13831","-28932","-17137","-13586","20989","17918","-19192","-7683","-27361","32","255","20298","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36618","-9738","-22023","20247","15341","-16134","9727","-4091","20733","15135","32","255","20323","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36619","-27406","18691","4373","25073","4599","4360","25347","6140","-28897","32","255","20349","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36620","23028","511","23320","21489","-17158","-10478","-19712","-6","-15583","32","255","20374","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36621","-11523","4086","-11238","7411","21495","-1768","-21251","-1543","27429","32","255","20400","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36622","-15358","26104","12825","19959","-31743","-28390","-3078","10746","-28887","32","255","20451","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36623","-10247","25079","27930","12536","2573","18720","-5896","3837","31277","32","255","20453","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36624","28404","29164","-29164","13301","6154","8232","17143","-11264","11826","32","255","20477","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36625","23549","-12056","-9452","245","27896","-28378","-1547","21251","-9673","32","255","20502","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36626","14595","30693","12052","-27396","-25867","-2532","-17931","-5885","13373","32","255","20528","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36627","-16891","12006","-29934","-32249","9973","7955","-16394","-7165","6721","32","255","20553","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36628","9991","10218","6926","26131","-16391","-7672","19449","20739","29763","32","255","20579","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36629","-24059","-24850","15371","18457","-9986","-19713","-9476","-2302","836","32","255","20605","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36630","-7676","22259","-30967","2840","-29187","15609","31744","-16894","22851","32","255","20630","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36631","4871","27638","10754","-25328","9467","10482","20227","8706","-26815","32","255","20681","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36632","29447","-5386","-2812","4620","14839","-11030","1797","28929","-23234","32","255","20683","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36633","-8960","-19717","-32251","20490","8446","-10781","25606","-22527","-22470","32","255","20707","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36634","-10754","24059","-4606","-18420","-2","19937","-17913","-4350","18486","32","255","20733","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36635","-32000","-17931","8707","6927","20737","-12582","-3320","-2812","27185","32","255","20758","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36636","-28422","-31252","-3837","-15087","-28415","-12591","-18423","-11769","14635","32","255","20784","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36637","12265","4340","18942","-12527","-32249","-4653","-21751","-18677","25636","32","255","20809","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36638","24290","-16893","19700","-8442","-18161","-32025","-7928","29711","-13281","32","255","20835","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
"36639","8679","31487","-15373","9469","-5868","20465","-26361","24595","-17379","32","255","20861","2020-11-02 16:01:18","2020-11-02 16:01:47","2","C7:F7:8F:B2:48:BE","32","32"
