"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"20043","12791","25076","-3081","-8705","2560","-9473","-30514","6921","18199","18","6","31589","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20044","13303","28660","-1801","-5889","12032","-3329","-31538","6665","17687","18","6","31591","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20045","17399","-30476","-5129","-4353","15616","2816","32462","6153","15639","18","6","31613","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20046","-30729","30452","-2569","-7937","8960","4608","30926","6665","13591","18","6","31639","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20047","-27145","26868","-2825","-6913","11008","-257","29390","7177","12311","18","6","31664","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20048","-12809","32500","-8201","-8449","7168","-4609","28110","6665","11287","18","6","31689","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20049","-777","-4364","-17417","-9217","8704","-5633","26574","5897","11287","18","6","31715","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20050","16886","6899","30968","-15105","-6657","-15105","25294","5129","12311","18","6","31740","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20051","23796","28148","-9480","-8705","2816","-20225","24526","3337","12567","18","6","31766","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20052","-10760","21233","-29961","-8193","-513","-20481","24014","1289","13335","18","6","31792","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20053","13814","-28688","30200","-19201","-8449","-21249","23246","-504","15895","18","6","31817","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20054","31734","-32264","-5641","-18689","-11265","-23553","22222","-1784","19223","18","6","31843","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20055","-6671","27122","-7687","-20737","0","-20481","20174","-2808","21271","18","6","31868","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20056","10995","28912","16121","-22785","-5889","-12801","18126","-3576","22807","18","6","31894","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20057","-18959","-29199","3578","29951","-16641","-6657","14286","-2808","24599","18","6","31919","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20058","10738","-30730","25082","24575","-16641","-5633","9934","-1784","26903","18","6","31945","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20059","-24069","-17928","-11531","29951","1280","-5633","5582","-760","28439","18","6","31971","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20060","-20231","26608","1783","-28417","768","-5377","1230","1033","29207","18","6","31996","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20061","6129","19445","-9222","-29953","-5121","-4097","-3379","265","29719","18","6","32022","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20062","-32259","-5130","-19724","-29185","-15873","-3073","-5683","2057","31511","18","6","32047","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20063","-25870","15088","-31751","26623","-18177","-2049","-10547","5129","-31209","18","6","32073","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20064","-20488","24057","-14346","24063","-8705","4096","-15667","6153","-30185","18","6","32099","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20065","-9","-15377","-3594","25599","-1","12288","-21299","10505","-29673","18","6","32124","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20066","-26381","17400","-520","20223","17408","12800","-29491","10249","-32745","18","6","32150","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20067","26108","-10510","25076","16383","-21760","17408","28109","12297","28439","18","6","32175","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20068","8436","-17936","6136","-4354","-23040","28672","14541","12041","21015","18","6","32201","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20069","25082","-13576","-24587","-12546","-32512","22784","205","11785","13079","18","6","32227","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20070","10232","12024","-31498","24574","1792","11264","-15156","14857","12055","18","6","32252","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20071","24056","2547","-4107","3582","28416","-1281","30668","14089","9239","18","6","32278","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20072","24313","7668","-5387","-8707","26368","-7937","8908","11529","6935","18","6","32303","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20073","15095","12790","-17162","-10243","-30208","-24577","-12853","7433","6167","18","6","32329","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20074","-25096","16373","5622","-11267","14080","25087","31435","1801","7191","18","6","32354","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20075","22264","-23819","-14346","5374","-19457","12543","14539","-1784","15127","18","6","32380","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20076","-10249","26358","-20234","32254","-29185","4607","2251","-4088","26391","18","6","32406","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20077","-16137","5368","12534","-25858","-32513","13823","-7222","-5368","-28137","18","6","32431","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20078","28152","21498","4598","22270","-5890","-15105","-19510","-1016","-18153","18","6","32457","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20079","11000","8700","-28683","766","15615","-28928","28106","8201","-13545","18","6","32482","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20080","-6409","-31236","-28683","32509","-24577","-17919","458","22537","-20201","18","6","32508","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20081","5877","-18184","-28171","-30979","17920","-31998","30921","-27383","25367","18","6","32534","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20082","-21262","16113","-21004","15614","-19457","24323","201","-5879","279","18","6","32559","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20083","-21007","17128","14323","9472","-24577","30467","-16696","21514","-26090","18","6","32585","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20084","5361","-7199","11758","-16126","-21247","2306","-5944","32010","12566","18","6","32610","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20085","-526","-2081","-21271","24322","2563","1279","19401","13322","-6123","18","6","32636","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20086","-3599","-12572","23787","7678","13313","-8966","28361","-28407","8470","18","6","32661","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20087","7920","32750","-2830","17147","-27651","12280","19657","2057","11031","18","6","32687","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20088","31471","25083","-32521","-31494","17915","11002","713","-10488","30488","18","6","32713","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20089","-23820","-26363","-12294","-10502","-31238","4608","-32568","22281","22041","18","6","32738","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20090","-31236","1546","11006","6652","16894","-17147","-20281","9738","11289","18","6","32764","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20091","-4861","-17403","6653","-12547","-5886","-2041","-20538","-20214","24","18","6","32789","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20092","10247","8961","2555","24317","27907","-5116","-19003","-20214","-19946","18","6","32841","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
"20093","26629","32255","-12293","-8710","24064","-14849","-9276","-30454","16150","18","6","32843","2020-11-02 14:38:41","2020-11-02 14:39:11","0","D7:F2:3B:06:4D:C8","18","18"
