"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"36508","-24054","5380","-22261","-13823","19202","32256","3334","-12305","9695","32","231","42963","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36509","-7928","20483","20492","5379","2","15617","15878","6128","28127","32","231","42988","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36510","9480","-32510","21515","10501","-29183","29442","-26874","18160","-6177","32","231","43015","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36511","20999","-23039","-23032","-23802","-14080","-15613","5383","19440","-26656","32","231","43039","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36512","13320","31745","-10235","29702","29952","-22780","-30457","9456","30689","32","231","43065","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36513","-16123","-4349","24324","32516","-18176","-24572","-16633","-1809","26082","32","231","43090","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36514","-26875","18438","-16381","27905","4354","-18685","-26617","-5649","19171","32","231","43116","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36515","-1528","16907","4358","26623","13573","-24319","11015","22512","-1309","32","231","43141","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36516","-18936","12555","-14328","1537","15622","3840","-4090","10993","27108","32","231","43167","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36517","20750","4358","14090","-25596","-27902","3840","20487","-13583","-24604","32","231","43193","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36518","-29937","16908","-29428","-14587","-16384","11264","9224","-7695","-19484","32","231","43218","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36519","-9714","26372","14348","14341","-1533","31999","-5368","15602","-11036","32","231","43244","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36520","6924","22527","-19956","31493","-12798","14080","-27639","-14350","6629","32","231","43269","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36521","11019","26880","-2804","-5115","-26883","-11518","19978","-27150","24549","32","231","43295","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36522","-27121","25349","-4598","-27133","-27652","-11259","-18166","-14351","-7451","32","231","43320","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36523","16406","7430","-8185","-772","27135","15880","1802","-2832","-794","32","231","43346","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36524","-14836","4605","4107","24052","-23036","9482","-29177","-16400","-7960","32","231","43372","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36525","3072","2813","9740","20208","20998","-18931","-18941","10481","30699","32","231","43397","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36526","30727","11780","14857","31472","-22010","-18928","28671","3570","-28434","32","231","43448","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36527","-9969","-8958","-3832","-27662","-5884","-27634","-25093","4595","28401","32","231","43450","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36528","7688","5893","30984","24311","8199","-31737","18425","24564","-8206","32","231","43474","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36529","27405","-19958","24328","23548","-12027","-19709","17400","-32267","20211","32","231","43500","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36530","27408","-8705","30983","26878","-16637","17919","1016","8950","17395","32","231","43525","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36531","-7416","25854","-16887","-11780","18952","9720","9976","-23050","5874","32","231","43551","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36532","-2044","5626","-10230","11774","19467","-4364","-26888","-21513","-6417","32","231","43576","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36533","3339","-24834","17928","-27389","-22782","-12816","-24327","3832","-31507","32","231","43602","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36534","-10733","-8963","-12541","-26105","-30214","-1817","-13829","-9738","23018","32","231","43627","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36535","-10480","-32007","27905","-28922","-29445","15328","-4354","23029","-25115","32","231","43653","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36536","-20476","-16903","-13309","11779","18687","27357","20226","25589","-15905","32","231","43679","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36537","6395","-31749","13069","30977","-30726","-31262","7429","-20747","15578","32","231","43704","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36538","9977","7680","-24039","-17919","-30464","15855","-9210","19446","32726","32","231","43730","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36539","-27643","14077","27678","23049","24056","-25860","19976","25078","9429","32","231","43755","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36540","-26367","-21755","-24797","31755","-2309","517","2570","22517","-12076","32","231","43781","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36541","29712","-16122","24863","-16621","-2305","3599","-27637","-29964","-24618","32","231","43807","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36542","2328","-3837","15886","3865","-11012","-19954","4366","-2574","-16168","32","231","43832","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36543","-29938","20479","25614","29721","23548","-29939","-6640","12273","25306","32","231","43858","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36544","2046","-15626","-25082","-2279","15612","27411","-19181","-5906","5596","32","231","43883","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36545","29181","-23323","11261","23062","-28156","-25570","29460","-14101","-1313","32","231","43909","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36546","26892","-6938","-30735","-19955","23311","2342","-24305","-16408","-8216","32","231","43934","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36547","2069","20201","-10013","11009","27914","-19926","-30204","-18457","-20234","32","231","43960","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36548","-24537","18416","-20234","-21266","-31218","-15835","504","-30999","15363","32","231","43986","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36549","26669","30199","526","741","9752","17684","21233","18926","-12794","32","231","44011","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36550","4645","24320","-21239","-13843","-8680","27900","27631","-32271","31492","32","231","44037","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36551","18452","28670","-9225","19694","-1256","-19985","-22545","-3342","-24321","32","231","44062","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36552","-28655","-24576","-1800","-10773","20756","30954","-32529","28915","16634","32","231","44088","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36553","-12781","4352","-32515","15597","-22522","-32285","17135","5362","19189","32","231","44114","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36554","-7151","-16392","-7419","-30484","-6659","-26915","25583","-23058","-26384","32","231","44139","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
"36555","30473","32749","-1265","18666","23040","19674","2289","-3606","11498","32","231","44165","2020-11-02 14:54:52","2020-11-02 14:55:22","3","D7:F2:3B:06:4D:C8","32","32"
