"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"63682","6912","22268","12796","-21520","18437","12289","3349","-23542","-22067","55","252","27834","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63683","516","22776","19711","25579","-9981","-7170","31250","4619","14286","55","252","27863","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63684","-4344","28405","13314","-283","17922","23804","-13042","-21237","14286","55","252","27886","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63685","-25073","26100","-251","-24095","254","21241","-6391","780","24013","55","252","27911","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63686","-27113","-32524","-17651","17633","8183","3317","8964","26891","30667","55","252","27936","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63687","25630","19446","29974","-8476","20980","16878","30974","-23543","-12344","55","252","27962","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63688","7456","1266","7196","24297","18677","-2077","29177","1287","21957","55","252","27988","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63689","19227","12785","4635","-21270","-30727","-5412","8693","-23805","3777","55","252","28013","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63690","30748","3567","-16862","-29459","23545","4572","-23055","-4865","3773","55","252","28039","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63691","19738","-17945","14645","245","13820","-18219","10224","4603","16965","55","252","28064","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63692","2831","-32036","827","-1026","-13050","18137","-14096","-25609","23616","55","252","28090","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63693","-5623","-3892","-4291","-254","-4850","-7970","-25357","-9995","17210","55","252","28116","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63694","1039","10192","-25289","29951","22809","31207","-9483","-18954","-11724","55","252","28143","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63695","-30206","-31282","-29908","23301","-8417","1767","18168","-25095","2863","55","252","28167","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63696","22763","28878","4371","-12281","-3555","25584","-1543","23293","-22998","55","252","28192","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63697","-5658","-3628","28424","-29938","-24045","28675","31995","-9472","7721","55","252","28218","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63698","-22040","-19763","-1","1816","-21999","-2027","-30978","-6397","-2262","55","252","28269","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63699","28917","-9252","22769","-22519","-24298","-6122","-15103","-7674","-12498","55","252","28271","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63700","16897","18394","-24341","8709","-27882","-28643","27140","9482","-28365","55","252","28295","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63701","23310","19941","5865","12801","-16368","15900","-30713","-13557","24633","55","252","28320","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63702","-22002","26077","13292","-27404","-17907","-18410","265","-27380","12862","55","252","28346","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63703","-25320","485","-23305","8173","-19704","5394","31752","-8692","16194","55","252","28371","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63704","-15078","-30237","-25093","-17941","18179","-26605","17671","-26100","-15547","55","252","28397","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63705","288","-31506","14080","6121","-28158","-4842","-15355","-13557","10173","55","252","28423","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63706","23075","-3336","-21239","-7447","-4095","9734","20483","-30453","17343","55","252","28448","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63707","18717","-22017","-18940","11499","2819","29697","31744","-21237","-12353","55","252","28474","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63708","-24803","-19965","3082","-26645","1285","28916","-30980","13324","31166","55","252","28499","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63709","-23263","-29430","18190","-26125","26616","-11018","-20487","24331","-8772","55","252","28525","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63710","23323","24587","31524","-9731","-18703","32760","15352","9993","-4421","55","252","28551","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63711","-5094","-11522","4918","25346","-13843","3061","32504","-3579","-21829","55","252","28576","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63712","31766","-9238","2628","2050","-10766","9197","-13320","-20734","15290","55","252","28602","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63713","280","-8229","29261","22006","-20744","20967","-15369","-3585","9028","55","252","28627","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63714","7430","26587","-23208","30449","-17919","6108","3318","-25859","1856","55","252","28653","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63715","-25377","-1586","-5313","-25878","21010","-19246","7156","9212","-7112","55","252","28679","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63716","-5690","-27944","22519","3569","-25315","26339","-27662","-19204","-13263","55","252","28704","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63717","31954","-19757","-11527","-32497","3604","20723","-29710","23038","11053","55","252","28730","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63718","16359","31705","-25107","10786","-8465","19987","-22538","-15362","-14546","55","252","28755","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63719","-23549","32237","30188","-11243","25604","15373","26107","20735","-23759","55","252","28781","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63720","18182","2294","-12035","9997","19478","5121","12029","-7679","-22479","55","252","28806","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63721","-26889","-10529","15610","-7924","-29944","27930","25599","17924","-18125","55","252","28832","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63722","27414","11513","-5381","27401","-501","-19684","-255","28677","29240","55","252","28858","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63723","20732","20708","17394","-32518","275","264","31490","-3065","-21191","55","252","28883","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63724","-21751","29947","-16364","26370","-32244","21283","-19197","-28407","-5058","55","252","28909","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63725","16895","4088","-16378","-24558","23295","-30683","-1528","1033","-21180","55","252","28934","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63726","-29183","-27412","-3592","-5132","28691","22558","17931","-11257","-19011","55","252","28960","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63727","21530","16890","5881","-15645","-6632","-29169","-19959","-5367","-19006","55","252","28985","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63728","-26333","-27635","23305","20973","25354","26630","15367","32011","31941","55","252","29011","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63729","-1766","27660","10252","17657","17153","15355","-17403","-27893","-25659","55","252","29037","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63730","-18921","15100","3083","2806","-28411","-2831","-18173","19724","-4669","55","252","29062","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63731","-5089","18422","15638","-16912","-25347","6894","2816","31756","-2624","55","252","29088","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63732","295","-30996","24877","-16142","28145","-22550","7932","-15606","-6723","55","252","29113","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63733","-20961","8923","-17341","-7691","16875","27359","4345","23558","698","55","252","29139","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63734","-29418","-14631","3392","18159","14327","-27951","4598","-10239","29505","55","252","29166","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63735","269","30679","-8896","20461","-22520","24772","10995","-8451","4666","55","252","29190","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63736","32235","28886","-17876","-22525","280","25547","-17933","24315","-15568","55","252","29216","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63737","-25892","21696","-29180","3099","13836","7658","11255","-23813","-12502","55","252","29241","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63738","22745","17865","-20468","25893","-2822","-2037","8956","-12805","-26582","55","252","29267","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63739","7902","-14364","-17900","13088","-21756","17939","-23040","4860","24365","55","252","29293","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63740","-24597","-28438","6926","31766","12304","25366","-2813","-17155","-9168","55","252","29318","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63741","-24573","-2059","-1545","-18417","10775","7947","-27642","25344","8500","55","252","29344","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63742","25855","31715","24306","14590","-10467","-8957","26119","12292","2358","55","252","29369","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63743","-260","-28202","-7692","-28673","-8684","1303","-20473","-2042","-28359","55","252","29395","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63744","-24053","27365","-15872","-9977","-6393","-8938","-8951","17927","-10691","55","252","29420","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63745","26634","6124","30473","26877","-1008","-29418","15883","24839","-10943","55","252","29446","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63746","-25080","-28693","-22014","-29449","-18416","6433","-11765","26887","-22086","55","252","29472","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63747","21023","-1804","-29700","-4368","-6899","-5858","-15605","-6650","27072","55","252","29497","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63748","-11466","-29424","15112","5613","24581","15894","6666","-12539","-9532","55","252","29523","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63749","3382","17165","-9720","30965","16640","-15619","26632","16645","1478","55","252","29548","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63750","-7895","14064","-7411","16879","3063","-4624","-1531","-26876","6340","55","252","29574","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63751","-9179","30945","15414","31974","-9495","-32014","-14335","19458","17089","55","252","29600","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63752","15653","26865","28503","-28951","10983","-32524","-4355","11262","-32577","55","252","29625","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63753","-31444","18942","326","27618","-19209","-32548","-17670","4091","15548","55","252","29651","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63754","28933","5869","25134","29146","-12537","7637","6647","14585","24898","55","252","29676","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63755","-16874","7157","-29652","-25630","21008","30912","-21516","2551","14906","55","252","29702","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63756","1789","-2847","16927","-16649","-25313","31436","-13066","-10762","-18898","55","252","29728","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63757","-27661","-10274","-6371","-23282","-10729","24802","-13063","-12552","26663","55","252","29753","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63758","6385","27348","-32489","26409","-30713","28161","-17666","-7430","-27099","55","252","29779","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63759","4336","16337","17172","-5334","20739","-25331","9221","14843","12327","55","252","29804","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63760","10735","-17974","23819","-18673","-3820","23304","-22264","-23556","-29143","55","252","29830","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63761","2025","32192","-28149","-19184","-29920","7700","-16119","18176","21037","55","252","29856","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63762","-1537","-17189","-28928","-2539","-23788","-14820","5645","-23551","-5326","55","252","29881","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63763","26385","12785","-31742","7441","27676","-7675","19216","7939","-3018","55","252","29907","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63764","-27647","-25893","21256","8460","-29664","27404","-1774","6918","3643","55","252","29932","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63765","-8704","27096","-10234","19715","-2024","30238","25877","22533","-5056","55","252","29958","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63766","8973","-26399","8453","26104","9248","-3050","10518","-18940","18874","55","252","30009","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63767","-482","-12046","14582","-8471","20000","14869","-11756","-31996","-30016","55","252","30011","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63768","-1744","515","-2566","-30487","-9707","-15866","18706","26117","453","55","252","30034","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63769","-24531","-254","-12014","-2072","-5885","-15623","5135","16902","10182","55","252","30060","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63770","-1487","-20234","-25831","-6944","29176","-25613","27658","23814","15556","55","252","30086","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63771","6715","-26387","-14775","20698","27364","-7434","8196","-18941","4546","55","252","30111","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63772","27696","513","2162","10213","26849","17904","16895","-31234","-28993","55","252","30137","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63773","5389","-26876","-13499","-7204","27390","-5917","11771","-9989","15036","55","252","30162","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63774","-15343","27656","16180","9178","-26867","10184","-10506","19706","29506","55","252","30189","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63775","5634","-1042","-721","-14869","-28632","11963","29941","762","-11210","55","252","30214","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63776","28409","-24871","4881","-28931","-22751","3035","28406","12028","8749","55","252","30239","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63777","-26118","-13611","16645","-24049","-742","-12561","4600","2559","-4057","55","252","30265","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63778","-22020","-14636","-8702","-11755","-15851","-10244","-3334","9218","2342","55","252","30290","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63779","-9472","-10042","-4092","-13293","-3047","281","18686","14598","14119","55","252","30316","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63780","-13815","-15921","-23562","18697","22301","-25067","-22783","-32246","-26069","55","252","30342","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63781","524","-12059","497","11001","-4069","7696","16643","32526","14639","55","252","30367","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63782","-7414","21998","-3594","-16391","-31467","-8929","-14331","-17391","-4044","55","252","30393","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63783","20998","233","11514","4094","-20982","20515","21003","-13551","4925","55","252","30418","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63784","15883","9702","12539","-18702","6671","5664","23055","-18672","-31420","55","252","30444","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63785","-14313","-31756","13829","20964","21261","283","-5105","29711","13758","55","252","30470","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63786","-29922","-2549","-13042","21995","22787","6932","-7410","-1779","-15166","55","252","30495","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63787","-14061","-29674","27666","23029","-16634","-4605","-3315","16909","-12604","55","252","30521","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63788","-13816","31495","-24558","-17172","-8190","6903","-24821","-5875","-23100","55","252","30546","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63789","-21752","-17149","-1249","-5155","-18180","-23824","-8443","-28402","15554","55","252","30572","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63790","-1272","-1027","32567","-5160","-8202","27110","-27907","-31731","21438","55","252","30597","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63791","32013","-19224","-17845","15087","23526","-25372","27895","-5367","-32326","55","252","30623","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63792","-3075","29167","-15543","-2315","25585","21471","19445","10756","13124","55","252","30649","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
"63793","-263","32257","-22993","27626","29972","-8233","-3343","12546","-10434","55","252","30674","2020-11-02 15:19:09","2020-11-02 15:19:39","3","D7:F2:3B:06:4D:C8","55","55"
