"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"68393","20495","-8453","14066","-9992","-24834","-2","18619","-15124","-1030","59","239","30054","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68394","8717","-30467","-8205","-6152","16383","3582","-7239","-6676","24315","59","239","30079","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68395","6924","-6146","-14861","15354","-18178","-7426","20549","3565","-18949","59","239","30106","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68396","21260","-19969","22772","-15109","-5379","20992","-28604","22253","-17925","59","239","30130","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68397","-25844","-17921","25077","-2051","31485","4353","19780","-20755","31483","59","239","30156","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68398","-17907","8449","-12813","1024","-8195","-3584","26180","2030","12539","59","239","30182","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68399","16142","-28929","-8975","-7680","-10242","-32256","-25532","17390","1531","59","239","30233","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68400","21519","-13568","-27914","-6656","8703","18176","-11196","28142","-4870","59","239","30235","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68401","27665","24831","-4108","-1024","12543","8704","1861","-27154","-8966","59","239","30258","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68402","-2809","-20740","2289","-31488","21503","1792","11589","-19986","-11270","59","239","30284","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68403","16397","26107","-11022","12800","32767","512","17221","-14866","-13062","59","239","30310","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68404","-10484","-32261","3059","2560","29183","-7169","19269","-10002","-13062","59","239","30335","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68405","14856","16380","9202","1024","32255","-9473","19781","-6162","-12294","59","239","30361","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68406","1035","12544","4849","6400","18943","-7937","21573","-786","-12294","59","239","30386","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68407","25872","14078","17906","8192","20991","-14081","23877","8175","-11782","59","239","30412","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68408","18439","24828","5104","-26881","4863","-16897","20805","16879","-9478","59","239","30437","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68409","30992","-15873","17393","-26114","13311","-28161","11077","26351","-6662","59","239","30463","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68410","-15866","-4101","2544","13565","28927","25855","-15804","-30225","-262","59","239","30488","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68411","14608","-28416","18930","-22276","28928","-31233","15684","-30481","5627","59","239","30514","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68412","3590","24061","-5902","-4100","-7680","-6913","-19389","29167","9723","59","239","30540","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68413","-10994","-3840","14581","-23043","-18942","30976","22083","10223","8187","59","239","30565","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68414","-7677","25599","-32521","3582","-27132","-30975","5699","-30226","1531","59","239","30591","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68415","-13297","11777","25338","2303","264","-25854","6467","-30739","-18182","59","239","30616","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68416","7171","8448","-6396","23041","8717","18179","22339","-16917","27130","59","239","30642","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68417","-5366","-21763","6412","1287","25617","-18683","-26300","12777","-17671","59","239","30668","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68418","-9464","19962","-5872","16656","24847","12811","28092","-27674","-10250","59","239","30693","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68419","-24050","3061","-4848","30235","30987","4115","2503","25317","11247","59","239","30719","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68420","-15090","30702","25365","-20958","21000","14873","-3885","6887","32230","59","239","30744","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68421","-2790","-2077","14596","17960","-9987","16666","6108","6891","1508","59","239","30770","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68422","-30670","-1825","-5901","3619","-27655","-12025","-24864","-28435","-18715","59","239","30795","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68423","15408","-28705","22020","-7145","23545","9204","-6429","-27924","-10778","59","239","30821","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68424","2853","27365","16640","6678","25845","-11287","4583","23273","14311","59","239","30847","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68425","-15587","15846","-10497","-23279","-1037","-26137","-25622","22245","-30746","59","239","30872","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68426","6174","24039","5374","16910","31475","10984","16880","26337","8419","59","239","30898","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68427","17177","-25367","-26115","23561","18417","-13078","3080","26590","-5684","59","239","30923","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68428","-31718","9188","-2307","27908","-11283","7918","-470","23776","28727","59","239","30949","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68429","-6633","23022","-3324","-2819","-24084","22510","-1232","-797","24369","59","239","30974","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68430","3859","14834","13831","-19459","20971","13551","-14542","-12569","5167","59","239","31000","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68431","-17132","17652","-768","7677","-15124","-13331","23347","-24085","-1747","59","239","31026","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68432","7441","-8717","-19973","30967","-13841","-27672","28466","-18705","2094","59","239","31051","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68433","20744","21746","-12040","-22288","13299","8166","13104","244","-20690","59","239","31077","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68434","-12031","5106","14328","-6423","-12044","11241","11309","3832","-210","59","239","31102","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68435","767","-17934","-5381","-9244","-22542","31984","-27607","22523","17966","59","239","31128","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68436","-3077","24563","25604","-20765","30443","-4359","-25051","22013","-2005","59","239","31154","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68437","-29700","16372","3076","3813","-2842","-2303","-11231","-29443","20264","59","239","31179","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
"68438","32247","6645","4619","-15645","-9750","21767","-3043","21500","-4060","59","239","31205","2020-11-02 15:28:48","2020-11-02 15:29:17","1","D7:F2:3B:06:4D:C8","59","59"
