"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"74263","22790","-30213","5886","-28677","20479","-5377","-30510","-1563","-23819","64","1","341","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74264","-14331","18171","18431","-22020","-6915","-22527","-23087","14566","-2059","64","1","367","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74265","-5372","28153","23809","17150","9725","5124","2257","-10522","15862","64","1","390","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74266","-13820","20981","-13818","-3840","26367","-8953","-29231","-12057","-23819","64","1","415","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74267","17162","-2573","22537","-31739","29182","22797","31443","24553","6388","64","1","441","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74268","13583","-31758","-10230","-13559","22525","-24561","26837","-20757","21235","64","1","466","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74269","1813","4334","-31725","-15091","32003","3853","27608","-21011","-7183","64","1","494","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74270","-17898","-34","2837","-17901","8185","-13558","9691","31471","-6159","64","1","518","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74271","27423","-20010","-20211","15897","15095","21509","-15139","-18704","-31245","64","1","543","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74272","-1255","11220","15882","-31974","-6661","4093","6881","-21264","-22284","64","1","569","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74273","-740","-22828","-8949","27","-20477","22264","30181","-8977","16628","64","1","594","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74274","-7400","-805","-25594","10779","8973","-32265","12523","-30737","-12815","64","1","620","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74275","3353","-30234","5888","27416","31492","3321","-30992","-25617","-27409","64","1","646","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74276","21267","-2073","17408","-14830","25603","-9","-21516","22767","2030","64","1","671","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
"74277","12553","15086","-1279","9488","-3580","26614","-29448","27375","748","64","1","697","2020-11-02 15:33:39","2020-11-02 15:34:08","3","D7:F2:3B:06:4D:C8","64","64"
