"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"79010","-25340","-23818","24816","5633","-5377","-9478","27335","-11785","-15813","68","1","32942","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79011","-18427","1014","-29968","-15872","-14590","-29700","26311","17399","10044","68","1","32968","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79012","15624","10997","5617","-12032","516","13309","32455","-28426","13116","68","1","32995","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79013","-30453","11508","-13840","14337","-30714","5627","-22073","-29195","13116","68","1","33019","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79014","-3063","18932","-26640","2305","-4602","-8969","-17465","3060","30268","68","1","33045","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79015","20743","-7947","-11279","3327","-16893","-13834","19655","-25614","14653","68","1","33070","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79016","16392","4088","-31501","-21762","-24575","26104","30150","-24847","20030","68","1","33096","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79017","-25598","-12809","6900","9728","-22783","13051","-6971","-2832","6463","68","1","33121","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79018","24836","24567","12531","-2560","16129","-7939","-12347","32752","27967","68","1","33147","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79019","11013","-13831","20211","27904","-26369","29951","-11067","25072","-28097","68","1","33172","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79020","-4346","18933","16626","19968","-32257","23552","-10299","32752","-25537","68","1","33198","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79021","19977","-8972","-10768","-18944","-15105","13568","-2363","-28176","-27585","68","1","33224","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79022","-14586","8180","242","28672","-7426","9216","1222","-19984","-24513","68","1","33249","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79023","-4090","26103","-32268","25600","-4610","-8449","1990","-10768","-18625","68","1","33275","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79024","-30192","29176","5876","24576","20991","29183","966","-4112","-9409","68","1","33300","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79025","-8700","-18700","-11792","8192","31231","12799","-4411","-2832","2880","68","1","33326","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79026","-11250","8698","3573","5376","-9985","27903","-8507","-3600","11840","68","1","33352","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79027","-8444","-16908","-10512","16896","-12545","-9729","-9531","-2832","15936","68","1","33377","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79028","-18674","-27655","-26381","25600","9471","15104","-6715","3057","17984","68","1","33403","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79029","-14596","23542","17137","12033","11519","10752","-2107","16113","21824","68","1","33428","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79030","1026","24059","-26384","-9214","27900","-7169","11206","-28943","-27584","68","1","33479","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
"79031","25587","-6917","7664","-30976","-28682","30727","18630","-5646","-14272","68","1","33481","2020-11-02 15:39:31","2020-11-02 15:40:00","1","D7:F2:3B:06:4D:C8","68","68"
