"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"5896","-17657","-24319","30732","-2050","-19201","18689","5375","23033","29239","6","243","40009","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5897","-15865","25601","-4340","14335","-25345","-13568","-5890","18937","-26313","6","243","40011","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5898","1544","17409","15117","23039","28159","15104","-13058","12025","-21449","6","243","40034","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5899","-24057","1","28941","26111","-1","-7169","-18690","7673","-21449","6","243","40059","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5900","16903","-11520","23821","-28161","25088","-16641","-22274","9209","-23753","6","243","40085","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5901","-1018","-6912","2829","-8449","6912","-24065","-23042","11001","-28361","6","243","40110","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5902","15621","-23297","16397","-6657","-15105","29439","-21506","8697","31799","6","243","40136","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5903","-24573","-9727","26381","-5121","11008","-28417","-20226","7929","27191","6","243","40161","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5904","-11003","15357","2061","512","2816","-13057","-18690","8953","23863","6","243","40187","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5905","-24829","8445","2829","17152","-12545","-12033","-15618","9465","21303","6","243","40238","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5906","-29179","2052","-16372","-26880","-3073","-1025","-10242","8185","20535","6","243","40240","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5907","-19711","-516","9740","-31488","-23297","16896","-4098","5369","22071","6","243","40263","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5908","21509","25596","11276","12032","23039","-28416","-1794","1785","26679","6","243","40289","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5909","12296","21501","17676","28671","13567","-12544","-6402","-7688","-30921","6","243","40315","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5910","-15097","-23300","-26356","-9730","26112","-16384","-18434","-9480","-22729","6","243","40340","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
"5911","-14332","-13828","-15604","1535","-30976","28160","-30210","-3848","-17609","6","243","40366","2020-11-02 14:23:53","2020-11-02 14:24:23","3","D7:F2:3B:06:4D:C8","6","6"
