"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"89627","1277","14834","-766","21248","-25600","27137","-4641","-11261","22483","77","254","17861","2020-11-02 15:51:00","2020-11-02 15:51:29","2","D7:F2:3B:06:4D:C8","77","77"
"89628","12797","12274","23811","-4097","31232","-28928","-3873","-1021","18899","77","254","17887","2020-11-02 15:51:00","2020-11-02 15:51:29","2","D7:F2:3B:06:4D:C8","77","77"
"89629","-8452","17138","3332","-14593","-20224","-23041","-5921","4","13011","77","254","17913","2020-11-02 15:51:00","2020-11-02 15:51:29","2","D7:F2:3B:06:4D:C8","77","77"
"89630","20732","23282","21252","-13057","-13312","4863","-8737","-5885","4307","77","254","17938","2020-11-02 15:51:00","2020-11-02 15:51:29","2","D7:F2:3B:06:4D:C8","77","77"
"89631","3068","-19982","21252","-9473","-5376","3327","-11041","-14333","-5422","77","254","17963","2020-11-02 15:51:00","2020-11-02 15:51:29","2","D7:F2:3B:06:4D:C8","77","77"
"89632","-31239","29426","4100","-13057","26112","9983","-13089","-21501","-13102","77","254","17989","2020-11-02 15:51:00","2020-11-02 15:51:29","2","D7:F2:3B:06:4D:C8","77","77"
"89633","-19206","-12811","-4605","-18177","28416","23551","-15905","-26621","-18478","77","254","18014","2020-11-02 15:51:00","2020-11-02 15:51:29","2","D7:F2:3B:06:4D:C8","77","77"
"89634","17143","20978","-19452","-28161","-5633","18687","-18977","-31997","-21038","77","254","18040","2020-11-02 15:51:00","2020-11-02 15:51:29","2","D7:F2:3B:06:4D:C8","77","77"
"89635","10491","31478","25092","-28929","-4609","13055","-22561","27395","-21806","77","254","18066","2020-11-02 15:51:00","2020-11-02 15:51:29","2","D7:F2:3B:06:4D:C8","77","77"
"89636","22263","8686","24579","31743","14848","23295","-26913","21763","-23854","77","254","18091","2020-11-02 15:51:00","2020-11-02 15:51:29","2","D7:F2:3B:06:4D:C8","77","77"
