"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"94365","12280","2303","17675","-20480","-22012","-31233","25080","14602","-20269","81","249","9089","2020-11-02 15:55:07","2020-11-02 15:55:36","4","D7:F2:3B:06:4D:C8","81","81"
"94366","23288","-18690","-24822","24832","-28927","-24832","27896","-23542","-28205","81","249","9115","2020-11-02 15:55:07","2020-11-02 15:55:36","4","D7:F2:3B:06:4D:C8","81","81"
"94367","-19719","-3075","3851","25344","4864","19969","-28680","-14838","-17709","81","249","9142","2020-11-02 15:55:07","2020-11-02 15:55:36","4","D7:F2:3B:06:4D:C8","81","81"
"94368","-11014","-18435","13323","-17664","-21504","1","-16904","-7158","-6189","81","249","9191","2020-11-02 15:55:07","2020-11-02 15:55:36","4","D7:F2:3B:06:4D:C8","81","81"
"94369","-21510","-20739","-11254","-13568","-2304","10240","-6920","2315","-3373","81","249","9193","2020-11-02 15:55:07","2020-11-02 15:55:36","4","D7:F2:3B:06:4D:C8","81","81"
"94370","11002","-8194","-7415","26368","32256","24063","-3848","7691","-9517","81","249","9217","2020-11-02 15:55:07","2020-11-02 15:55:36","4","D7:F2:3B:06:4D:C8","81","81"
"94371","-777","-2308","12810","-27137","17151","-13826","-8968","2315","-18989","81","249","9242","2020-11-02 15:55:07","2020-11-02 15:55:36","4","D7:F2:3B:06:4D:C8","81","81"
"94372","-3077","10752","22791","5631","-12291","-25602","-20232","-15606","-28205","81","249","9268","2020-11-02 15:55:07","2020-11-02 15:55:36","4","D7:F2:3B:06:4D:C8","81","81"
"94373","16124","18178","-26873","-15874","-3081","26111","-28168","-7159","-17965","81","249","9293","2020-11-02 15:55:07","2020-11-02 15:55:36","4","D7:F2:3B:06:4D:C8","81","81"
"94374","27394","3582","30468","-11009","7413","-9217","-20488","23048","17876","81","249","9319","2020-11-02 15:55:07","2020-11-02 15:55:36","4","D7:F2:3B:06:4D:C8","81","81"
