"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"1","27146","1797","7177","26623","24575","-20480","-15096","-6673","7153","1","252","25252","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"2","-1527","-7932","-7671","-1282","2560","9985","-30712","-12817","16881","1","252","25278","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"3","26377","-25851","21001","31999","25346","-3071","11016","-7441","-23311","1","252","25305","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"4","11785","-15611","19465","-4865","8965","25090","-20217","25072","23282","1","252","25328","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"5","12298","-5629","-22774","32000","-4602","28674","11527","12529","15347","1","252","25354","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"6","27914","-11005","24842","-9473","19207","-15872","-13050","9714","-4877","1","252","25379","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"7","-2295","9477","-15349","-23554","28422","12799","32518","8691","15092","1","252","25406","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"8","-28667","-1535","19211","-17155","30982","-3329","5126","3316","30964","1","252","25431","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"9","-18171","-21759","-8949","-10755","5383","-31232","-29947","3061","-9740","1","252","25456","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"10","-18170","14085","-2292","-25346","2567","-18688","6661","5110","15861","1","252","25482","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"11","7177","3331","-23539","-9474","8453","21249","-16124","-5898","-23819","1","252","25508","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"12","-15356","14851","25356","19454","2820","-32511","25604","-31241","2038","1","252","25533","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"13","-31481","19201","-5875","-22787","-28158","7937","-2557","-2313","21750","1","252","25559","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"14","-29433","-10491","782","7677","-6655","23296","32003","15864","32502","1","252","25584","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"15","-11263","20992","24591","-25347","7681","-20992","3587","29176","-26378","1","252","25610","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"16","-6906","6144","-6385","-2306","-11520","3329","-16126","-27400","-14346","1","252","25661","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"17","14601","26884","-8434","-4353","1281","27648","-23294","-18952","-5898","1","252","25663","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"18","-4093","30723","30734","21760","-21761","-28929","-20478","-18440","-6410","1","252","25687","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"19","-2047","28159","-3314","-16640","29183","-2818","-11518","-22280","-16650","1","252","25712","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"20","2823","-23294","17678","-30975","-25601","14591","4355","-25096","-26890","1","252","25738","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"21","-25593","-24826","-26611","-24831","28671","24319","24067","-28424","30454","1","252","25763","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"22","5379","-15869","-10997","-27392","20733","-27649","-27389","18936","22518","1","252","25789","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"23","29698","-28673","10508","-18689","6653","12543","-22781","-9481","10742","1","252","25815","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"24","-9720","-25085","15885","2560","-9475","-24321","-20477","-31497","-267","1","252","25840","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"25","22533","30720","14604","-19456","17919","-25601","-13309","22775","-5643","1","252","25866","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"26","20999","3","21773","-3328","17664","26879","-1789","24311","-11787","1","252","25891","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"27","-16635","-19711","11533","-3328","-30720","24831","9988","30199","-16907","1","252","25917","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"28","3846","-1023","-27123","-21504","21248","6143","20996","-30217","-24331","1","252","25943","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"29","4103","19203","31501","-30464","29440","2047","29956","-24585","31989","1","252","25968","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"30","-14075","31491","13837","-27136","-24320","-23554","-25340","-16649","20725","1","252","25994","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"31","25605","-32764","-6900","22784","30464","-13570","-15868","-8713","7925","1","252","26020","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"32","-8955","15620","13069","11264","32256","7423","-9980","-1801","-1292","1","252","26045","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"33","-24315","11780","15629","15872","-29952","4863","-4860","5368","-9996","1","252","26071","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"34","-20731","-13053","21773","26112","29440","10239","1285","11768","-17676","1","252","26096","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"35","-15355","12804","19981","-31744","21504","11007","9477","17144","-25612","1","252","26122","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"36","24837","15364","23309","23552","-257","25343","16645","20216","32756","1","252","26148","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"37","-19963","4100","24333","11008","31999","-16385","21253","18168","27636","1","252","26173","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"38","27142","-1789","-13044","12288","9983","-28417","25093","11000","22772","1","252","26199","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"39","28166","8708","-6901","9728","21759","-3330","30725","3832","12276","1","252","26224","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"40","-22011","-27644","4620","22784","14080","28926","-26619","5880","-2829","1","252","26250","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"41","14853","-9468","10508","22784","-20992","-2306","-17659","13560","-15117","1","252","26276","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"42","-14332","-6908","-28660","-30209","4096","-27905","-16123","19448","-20493","1","252","26301","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"43","-3578","-2301","12301","-17410","14078","24319","-23035","7160","-28941","1","252","26327","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"44","-2810","-20220","-13555","16383","-25602","5119","-29179","-8713","23283","1","252","26352","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"45","20486","23812","-20979","-2561","28159","-25602","-26875","-12809","8179","1","252","26378","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"46","-27899","-27900","17933","12032","8447","-16130","-19195","-16649","-7694","1","252","26404","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"47","-11003","-11516","25613","-6401","-15874","1535","-13307","-23817","-21774","1","252","26430","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"48","-30203","-17660","25101","-27393","28670","26367","-11003","29431","31474","1","252","26455","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"49","14342","20228","-15347","20223","30718","-18177","-13819","15351","23282","1","252","26480","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"50","11015","-765","-23026","-17921","-14338","9471","-15099","3831","13810","1","252","26506","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"51","-4346","28676","-23538","-18944","10495","23806","-5115","-2314","-3343","1","252","26532","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"52","17670","1285","22029","19457","-31745","-5891","15622","-4106","-25871","1","252","26583","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"53","1286","-20220","27916","-28671","12800","-19971","-26106","1271","16113","1","252","26585","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"54","-7418","-17917","-16885","14850","-32768","-26628","4359","13815","-11792","1","252","26608","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"55","1028","-30972","-4598","-25598","-24832","23804","-21753","31223","16368","1","252","26634","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"56","16901","9221","-13302","24577","-5377","-11011","8200","-22281","-9745","1","252","26660","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"57","26885","-26875","-7669","8192","-26114","-10499","23048","-23305","30959","1","252","26685","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"58","-19963","-8187","21516","-7937","11518","-14851","-32248","-31497","2287","1","252","26711","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"59","-29179","3078","-29428","-2817","18686","6654","-22264","25591","-25618","1","252","26736","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"60","-8187","518","-31220","-13569","6142","24318","-13816","15607","15086","1","252","26762","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"61","-5883","22790","-5365","-26113","6142","-20482","-7928","3063","-7955","1","252","26813","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"62","4358","29190","-20981","-25857","-25346","-258","-4344","-7434","-26131","1","252","26815","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"63","15366","25094","-23029","-29441","-1282","11775","-2296","-14602","25581","1","252","26839","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"64","-7675","16902","12","14591","-7426","23295","-3064","-21514","13037","1","252","26865","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"65","-16635","19206","5388","5375","2815","9472","-8696","-30218","6381","1","252","26890","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"66","-762","-13051","23308","5119","-1794","24832","-17656","24566","6381","1","252","26916","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"67","7","-26619","-32756","13567","-5634","-14081","-24056","14582","2029","1","252","26941","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"68","20231","16133","26124","25343","-7938","5631","-26104","6390","-8980","1","252","26967","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"69","-3322","24325","22284","-28929","1023","9726","-22520","1782","-28436","1","252","26993","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"70","-12283","-3323","28940","-19969","11263","-2307","-15096","1270","12012","1","252","27018","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"71","-3835","15366","-4341","-26113","-2306","-22018","-9208","-523","-8469","1","252","27044","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"72","6406","14854","-21749","15871","22782","7935","-7416","-9227","-25621","1","252","27069","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"73","8966","12550","-16373","-11522","-28419","-8705","-10744","-26891","25579","1","252","27095","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"74","-28410","3078","-13813","-14338","29437","-17664","-19448","13557","18411","1","252","27121","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"75","5127","-16891","-6133","11007","-19459","14337","-29688","-12812","19179","1","252","27146","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"76","-15865","17157","-10485","-20481","-13571","13569","29448","27636","22763","1","252","27172","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"77","3592","-3580","29451","-1","18685","9473","27912","-13","24555","1","252","27197","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"78","24840","-6140","32523","-12033","-3844","18945","26632","-31757","25323","1","252","27223","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"79","3849","-2300","11787","-5121","-22788","11777","25352","-1806","25067","1","252","27249","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"80","-30967","19717","-4342","21760","17149","29440","29704","32242","20203","1","252","27274","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"81","22793","-23291","-23798","-10496","-22019","-12289","-22264","8690","8939","1","252","27300","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"82","4873","11526","-27894","4609","-12547","-30465","-2808","-11023","-6678","1","252","27326","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"83","-29431","-28410","18442","27905","20990","14847","20745","-26383","-23318","1","252","27351","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"84","-25079","26887","-15351","-22527","4863","-6659","-13815","-31759","17642","1","252","27377","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"85","22025","-31480","-25079","-18943","-23296","12796","26122","-18703","-18455","1","252","27402","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"86","-26104","26889","-9206","-17151","-24062","-7430","3339","18930","5865","1","252","27428","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"87","-29177","-10999","17932","-8959","516","-28422","-21493","10483","-32280","1","252","27454","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
"88","19206","11017","26637","-27648","30726","-27652","-245","13300","18920","1","252","27479","2020-11-02 14:54:38","2020-11-02 14:55:08","0","DF:DC:EF:28:D6:3E","1","1"
