"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"3517","8964","19717","23567","-32513","-31232","-1792","-28154","20222","-6626","4","255","56356","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3518","-14333","13061","-30194","24064","-27137","-11777","-28410","16894","-4322","4","255","56381","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3519","-26622","-1531","16140","4353","29952","-18689","-18938","16638","-7650","4","255","56405","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3520","-27391","27398","-22774","-8448","-24063","7168","-7930","27902","-4578","4","255","56430","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3521","-17152","-7674","29451","28672","-4607","-29440","-1274","-20482","4639","4","255","56456","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3522","24065","-18939","21517","-2560","-17665","-30976","5895","-14594","12319","4","255","56481","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3523","-4094","-2811","-15349","-18944","7679","-25600","16391","-24322","15135","4","255","56507","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3524","26625","-9722","-6388","16639","24065","-27136","14855","-22530","22559","4","255","56532","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3525","9470","32516","29197","-19202","18946","28672","3591","-6658","-30945","4","255","56558","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3526","18175","-5371","-32754","20223","-12799","3328","-6394","11263","-21729","4","255","56584","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3527","-24058","17159","-14579","-2817","4609","-20993","-8954","22527","-19681","4","255","56609","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3528","22271","-25854","25612","-9729","31744","-5121","-8954","29183","-20193","4","255","56635","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3529","-7165","-11001","26892","26111","-18432","10752","-12794","-31745","-17377","4","255","56660","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3530","12287","31746","-28916","-11778","19456","8448","-22010","-27905","-14305","4","255","56686","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3531","22790","-21241","8462","-12034","-20736","-12289","31494","-23297","-13537","4","255","56712","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3532","14588","-4605","20750","-3842","11520","-20481","20998","-19713","-14305","4","255","56737","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3533","8710","10757","-26098","19199","-5377","31743","12806","-18177","-18913","4","255","56763","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3534","-30976","-6905","-29426","-10241","4608","24063","9478","-17921","-24801","4","255","56788","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3535","-13827","10499","7693","3072","2304","25087","10758","-16385","-30689","4","255","56814","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3536","-20986","-5370","-28403","-2817","-10496","-27137","11270","-9729","31263","4","255","56840","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3537","-8195","3079","-4083","-3841","3073","-18945","11526","-257","30751","4","255","56865","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3538","-7682","-9470","-13811","-1793","16128","3328","11782","5632","32031","4","255","56891","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3539","-12282","13575","-6387","-6145","14592","16384","11782","6400","-31457","4","255","56916","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3540","-29699","5126","-22515","-16897","9216","0","10502","6144","-29665","4","255","56942","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3541","7686","519","4365","6144","14848","-2049","10246","6656","-29665","4","255","56968","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3542","-8190","32007","-10228","13568","-32768","-14593","12806","8960","-30945","4","255","56993","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3543","-5633","-14076","5900","-1793","-29696","14080","14598","13312","-29409","4","255","57019","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3544","-4096","-11773","2059","11519","27138","16384","11014","26880","-20961","4","255","57044","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3545","-4351","25092","-19188","8191","-8188","-1793","2054","769","-9441","4","255","57070","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3546","29440","-29181","-5362","3072","22532","-16641","-507","-18431","2592","4","255","57096","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3547","20992","-13820","8206","-10753","-27135","16383","262","7938","3872","4","255","57121","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3548","9472","-13564","30477","-28930","-6401","-29441","-9467","14338","-481","4","255","57150","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3549","10496","29188","31245","-17155","-25345","-22529","-29947","11778","-4833","4","255","57173","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3550","18432","-11261","10510","18430","-7937","-17409","15365","9730","-7905","4","255","57198","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3551","-19456","-15613","-5620","-26626","-3585","27647","2053","8706","-12257","4","255","57224","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3552","27647","-10237","-2802","21246","-256","11263","-15356","14338","-19169","4","255","57249","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3553","26623","16387","-2034","8703","-1536","9983","-27388","27650","-24033","4","255","57275","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3554","-27394","-29949","-13809","255","-5121","2558","27396","-32254","26655","4","255","57300","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3555","12030","-23805","25358","-4098","-10497","-14083","14596","-31486","4639","4","255","57326","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3556","30206","-2045","-8692","29951","10753","30461","4868","-21758","-17634","4","255","57352","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3557","-11267","-17660","-5622","-21505","-24575","27901","-253","-3326","24350","4","255","57377","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3558","-19971","20485","-6902","-2562","-17919","18430","-8701","18435","7454","4","255","57403","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3559","-30210","11269","18444","-5122","-27135","-7682","-20221","-26877","-2275","4","255","57429","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
"3560","-29442","20485","2319","29438","-7935","20223","30211","-7933","-7907","4","255","57454","2020-11-02 14:58:21","2020-11-02 14:58:51","1","DF:DC:EF:28:D6:3E","4","4"
