"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"4708","16383","8200","26380","-32512","-14593","21247","14858","-13056","31216","5","255","57392","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4709","4095","11528","-25844","-768","-2561","28927","23050","-11008","25328","5","255","57417","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4710","10239","-31224","3596","22017","-8449","32767","-29174","-9472","19952","5","255","57444","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4711","21759","-21496","-16117","3585","-25857","-19201","-16630","-9728","15600","5","255","57468","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4712","-13057","28680","-27381","-17408","27391","0","-6902","-13568","12016","5","255","57494","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4713","4864","17162","4875","-29184","-25089","30976","267","-18944","11760","5","255","57519","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4714","-18175","25608","-10998","26368","30975","-9216","6155","-26112","16112","5","255","57545","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4715","-13311","6155","-20982","9472","-4353","-9216","9483","-32768","22512","5","255","57571","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4716","-29950","-6902","-17142","-4865","1792","-8192","10763","26880","29168","5","255","57596","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4717","-9983","20231","1292","-26369","-13057","-7424","9227","21248","-29200","5","255","57622","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4718","-8963","-3064","-31988","22015","-8449","-11520","4619","16128","-21776","5","255","57647","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4719","-26365","3081","22539","30207","-5121","-26112","-758","11776","-15888","5","255","57673","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4720","-15875","-22009","-15860","-27137","31487","4352","-4598","7168","-14864","5","255","57699","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4721","-2302","7944","4107","-11521","-27393","-13057","-6646","3840","-18192","5","255","57724","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4722","7678","-14071","9740","-16385","-12545","0","-7670","1024","-19984","5","255","57750","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4723","7425","10758","16652","-15361","-20481","5632","-9206","-769","-20496","5","255","57776","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4724","-25599","20747","3339","-15617","-12033","-4865","-10998","-2817","-21520","5","255","57801","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4725","-22019","26119","-17396","-16641","26879","-9473","-12022","-6657","-24336","5","255","57827","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4726","-32510","2824","26635","-20737","-13057","-3073","-14070","-8961","-26640","5","255","57878","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4727","15616","-29173","-25077","24319","768","5120","-18166","-10497","-26640","5","255","57880","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4728","18942","-11514","-9716","-3330","26879","10496","-25334","-14081","-27152","5","255","57904","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4729","-1790","19976","19979","-19458","30719","21504","28682","-19969","-27664","5","255","57929","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4730","28927","7434","-18933","-6914","-12289","27136","17162","-25601","-25616","5","255","57955","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4731","-4096","-19451","23308","23295","1280","23040","9994","-27649","-22800","5","255","57980","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4732","10240","17414","11020","-28417","7168","-30976","5642","-26625","-17424","5","255","58006","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4733","23297","25097","26379","-24577","25600","-27648","2314","-26113","-11024","5","255","58032","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4734","22529","-8953","-29429","-15105","-13313","-28928","266","-28161","-6160","5","255","58057","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4735","7681","-28920","-18933","-18177","8448","-10240","-1271","-29441","241","5","255","58108","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4736","13823","-8952","-19700","8447","6401","12289","-6647","-26625","12785","5","255","58110","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4737","-19968","19976","-30963","26622","-6401","28673","-19191","-27649","27377","5","255","58134","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4738","257","11783","-24820","7166","8702","2817","28937","22271","-31759","5","255","58160","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4739","-3583","-31738","26891","14334","28925","-19200","11273","-3586","31729","5","255","58187","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4740","12291","4102","-3319","-28418","-1795","-14848","-3320","-28674","29169","5","255","58211","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4741","28675","27910","5897","32766","27903","29952","-16632","22014","30193","5","255","58236","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4742","28418","-15098","-1271","-16387","29441","-4097","30216","27134","-31759","5","255","58262","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4743","-17408","18951","-25077","4605","5122","16384","3848","-19970","-24079","5","255","58288","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4744","-9984","2311","-5621","-7428","14849","-14080","-26361","-6914","-12815","5","255","58313","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4745","-27393","5638","25866","-17411","-10496","-12544","12551","-1282","-2575","5","255","58339","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4746","27898","27397","15620","-27393","18946","-25087","1543","11007","13554","5","255","58365","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4747","17397","4102","31226","-5380","10757","-24061","-9466","-22273","-14094","5","255","58390","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4748","-30224","12035","-26375","22514","19719","2054","-32763","-32768","-11789","5","255","58416","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4749","-16403","-7938","1278","2027","22790","-1272","-16894","26369","10997","5","255","58441","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4750","7403","6903","-29434","6631","-1530","28685","20479","31234","-1802","5","255","58467","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4751","-25618","15346","16655","10982","-21244","32528","-24581","-17149","16377","5","255","58493","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4752","15600","-28176","-20460","490","-4350","3089","24824","-252","-24837","5","255","58518","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4753","-16146","-11793","19480","-24337","19205","-25582","7158","-23034","-2563","5","255","58544","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4754","-14608","-8468","17436","-16909","18693","-23020","-9740","-9464","27904","5","255","58569","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4755","31222","-22550","-19679","14327","28417","-17644","28660","-13302","14851","5","255","58595","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4756","25345","-9496","-5087","-5892","-26881","25875","7669","14860","19206","5","255","58621","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4757","-17657","-23572","22304","-3583","14078","17166","-30474","1293","2569","5","255","58646","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4758","6920","-11793","-14566","-6395","4348","-32248","19192","2061","1547","5","255","58672","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4759","-18168","6130","-9965","-28921","5626","-3580","3578","28684","23308","5","255","58697","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4760","6410","30963","7689","-28411","9719","-11264","25595","20747","4365","5","255","58723","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4761","28167","3571","24330","-256","-2827","8445","-23813","-18423","3341","5","255","58749","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4762","-1790","20979","24069","-12030","19193","21499","-18693","14088","-24820","5","255","58774","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4763","-16130","13046","25087","-21759","-24324","23549","-9221","29447","8460","5","255","58800","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4764","-30716","-8207","21769","6403","-4615","-776","-15109","-14586","-26357","5","255","58825","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4765","5376","29173","-506","7935","-29444","-6926","32507","27909","5386","5","255","58851","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4766","22522","10229","-4354","-25088","-12804","-19471","7675","16388","-249","5","255","58877","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4767","14070","-9","-29184","-17155","-19454","-8715","-31750","-253","11014","5","255","58902","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4768","32247","19192","-3584","21242","773","-31498","-30727","18948","-25852","5","255","58928","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4769","7154","23546","-766","3064","30213","-20493","1528","-26620","-20990","5","255","58953","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4770","-25621","23292","-10234","-17419","-19451","-20748","9206","-14076","-27904","5","255","58979","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4771","8938","-19204","20492","-13069","-18939","7417","500","5381","-5122","5","255","59005","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4772","-14099","-4867","-22257","-9228","-25595","9980","242","31237","-11267","5","255","59030","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4773","11757","26877","-19437","-11","-7675","31486","17392","1286","-2820","5","255","59056","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4774","-1555","23547","16154","-18955","-12028","-22013","-21010","-9210","-28164","5","255","59082","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4775","5877","-29707","-5602","23289","-26365","-26360","-26899","4872","-6404","5","255","59107","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
"4776","6909","18928","-7903","-5633","1797","22026","32493","-25847","-29699","5","255","59133","2020-11-02 14:59:26","2020-11-02 14:59:56","1","DF:DC:EF:28:D6:3E","5","5"
