"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"7084","-24579","5637","15885","22529","-23555","-8961","-4605","20739","8151","7","250","15109","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7085","-14851","32516","-755","-9473","30460","29695","-765","-6910","-2346","7","250","15135","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7086","-1794","32515","-1523","4096","18172","-19201","-3581","21506","-13098","7","250","15162","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7087","3838","19972","25612","16129","-8196","30719","3588","-4351","-22314","7","250","15186","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7088","30207","-2044","27660","-3072","-12804","6144","17156","27137","-30762","7","250","15213","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7089","28415","-26107","-27379","3071","-2819","17152","16132","-768","32214","7","250","15237","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7090","-16897","-15356","-8691","-30466","6399","18432","2820","-19712","31446","7","250","15263","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7091","23042","13570","-9203","30207","12033","3841","-6397","-16640","-26410","7","250","15288","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7092","20739","7429","21005","31232","-769","17153","-4349","-9728","-13098","7","250","15314","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7093","-26621","-1789","-12788","30208","14077","-9728","2052","31488","-7210","7","250","15340","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7094","-14596","18946","22029","-14849","-31745","512","4356","16384","-6954","7","250","15365","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7095","24061","-3322","3597","-11778","-6913","-12289","-2557","19200","-7210","7","250","15391","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7096","1283","-21245","28173","18686","15869","-9217","-17149","768","-11562","7","250","15416","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7097","25850","20484","-9714","11774","5886","15615","31235","-23041","-20778","7","250","15442","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7098","-19706","3589","-26098","-3330","-8961","-8961","17667","-26625","-26410","7","250","15493","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7099","-23816","21251","-18929","8192","-13314","-6400","15107","29951","-23082","7","250","15495","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7100","-7673","20485","15374","19457","19710","11522","24067","14591","-8490","7","250","15519","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7101","24825","-16636","32270","32001","1792","-6143","-25597","4607","11479","7","250","15544","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7102","-9211","-7165","-19955","15105","15104","3074","-12029","3583","31191","7","250","15570","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7103","-19460","25606","12813","-30720","-3841","3841","-3325","-514","-19497","7","250","15596","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7104","-9470","-28926","-27892","-9217","-15105","15616","-1277","-1794","-14633","7","250","15621","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7105","-4864","28167","-30452","23295","-31745","-16129","-4861","-5634","-16425","7","250","15647","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7106","18430","20481","-6644","-258","8703","10496","-12285","-13058","-17961","7","250","15672","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7107","14598","-1274","-24819","-514","29951","14080","-22013","-20226","-17193","7","250","15724","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7108","8197","16132","9229","8703","-14081","18688","-30717","-25858","-16169","7","250","15726","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7109","-27643","19462","-18162","14847","-6913","-31744","26883","-27906","-13865","7","250","15749","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7110","-19710","12547","-17394","-24833","21502","-9216","21251","25342","-9001","7","250","15775","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7111","20739","9475","6925","28416","-30978","-19968","23299","4862","-3625","7","250","15800","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7112","4098","32261","-12275","22528","22784","28672","28675","2558","472","7","250","15826","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7113","7681","-30973","18189","-23297","4351","-22784","28675","-4355","5336","7","250","15852","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7114","30977","-31484","18190","15103","18432","31488","22531","-3843","11992","7","250","15877","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7115","-2815","14596","13581","18175","-26111","17407","15619","2814","10712","7","250","15903","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7116","12033","-20989","-26099","25087","11009","5631","10499","19198","3288","7","250","15928","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7117","3329","24324","-7924","-11010","-6144","24832","3843","24830","2520","7","250","15954","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
"7118","9985","-7421","-7923","25085","13309","-17663","-16894","16894","14040","7","250","15980","2020-11-02 15:01:57","2020-11-02 15:02:26","3","DF:DC:EF:28:D6:3E","7","7"
