"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"8246","25105","18175","28924","-22017","8191","-16129","-28862","-6432","19490","8","251","7982","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8247","-240","-7681","-17412","18687","-8960","17151","3138","-5920","-18142","8","251","8005","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8248","-13040","22016","20477","-14849","28417","9215","3393","-17440","-22237","8","251","8031","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8249","30480","25600","10493","-28928","-9728","28159","15936","-26144","-31452","8","251","8057","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8250","-11248","-21249","12029","-20992","-768","-10241","-10177","30944","2085","8","251","8082","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8251","-1007","-20735","18173","15616","5889","19200","-14273","21472","10789","8","251","8108","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8252","9747","17407","7422","-11777","19456","23296","-6849","14048","2853","8","251","8133","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8253","1043","9218","-24835","-15617","-11011","19200","-31680","24800","25124","8","251","8159","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8254","10259","-31743","-23044","17663","-23812","25344","30017","-10528","23331","8","251","8185","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8255","29459","-4099","15613","25342","25344","6400","-19903","1505","-5854","8","251","8210","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8256","25613","5119","22524","-10498","-22272","-28929","12097","-6176","13859","8","251","8236","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8257","-24557","-20991","23806","1024","8448","24319","-26560","-7712","-16861","8","251","8261","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8258","24077","19455","-12037","21504","17153","-31745","1088","-12832","24356","8","251","8287","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8259","7956","-30464","-770","-2049","25602","-17921","15679","-31008","11813","8","251","8313","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8260","10766","5122","3581","-14081","31745","-10753","24126","16096","2598","8","251","8338","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8261","-1775","-6403","30974","-7425","22527","6656","17470","14048","7462","8","251","8364","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8262","-23022","5891","11006","2560","1021","12544","7743","32480","16677","8","251","8389","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8263","-1267","-8194","-20743","-25345","-8708","14336","6208","-3104","15396","8","251","8415","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8264","8467","10749","-29444","-3330","21247","11264","-26304","14817","-26077","8","251","8441","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8265","30226","-23806","15357","4863","-13825","-17153","31552","16353","-28893","8","251","8466","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8266","32269","-12545","20987","-27137","22015","10751","4160","23009","-7389","8","251","8492","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8267","-23791","-7427","7933","-10753","18176","-6658","25919","27617","-30172","8","251","8517","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
"8268","17938","21763","-32003","-2561","7937","5375","31294","23265","29989","8","251","8543","2020-11-02 15:02:54","2020-11-02 15:03:23","3","DF:DC:EF:28:D6:3E","8","8"
