"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"11744","27142","-22012","32268","-24321","-4353","20479","6919","24055","21291","11","5","1308","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11745","10758","-25340","-8948","16895","25088","511","4359","28151","12587","11","5","1362","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11746","-24827","17924","-6388","4351","6913","-258","-1786","-26377","4907","11","5","1364","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11747","12293","7684","1805","11519","7425","9471","-8698","-12553","-470","11","5","1385","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11748","-3836","-2813","25101","-30209","-3328","16639","-13306","-521","-5078","11","5","1410","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11749","23556","-22268","-8947","-14337","-3584","22527","-15098","9208","-8918","11","5","1436","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11750","6660","-21244","20237","-17665","-24832","-28673","-16378","16120","-11478","11","5","1462","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11751","22022","12292","9998","-26369","-4864","-18177","-20218","24824","-12502","11","5","1487","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11752","-31483","-251","7693","-13313","-12288","-7937","-23546","32248","-11990","11","5","1513","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11753","27655","8710","4365","-6913","15104","5376","-25850","-30216","-11478","11","5","1538","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11754","-27382","7942","19468","16128","6400","19712","-25850","-30472","-10198","11","5","1564","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11755","-8439","29956","-2805","14080","5120","-25856","-25082","31992","-6870","11","5","1590","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11756","19458","23297","-31218","8192","-16129","27136","-24826","28664","-3030","11","5","1615","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11757","13568","771","24080","1024","26367","11776","-24570","24056","-726","11","5","1641","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11758","19719","-14074","-6390","0","-4097","17152","-25082","21752","1835","11","5","1667","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11759","9995","-17660","22795","6656","11008","23296","-25850","20472","4395","11","5","1692","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
"11760","20993","13313","-20722","7936","-20737","8192","-24826","17656","5419","11","5","1718","2020-11-02 15:09:11","2020-11-02 15:09:41","0","DF:DC:EF:28:D6:3E","11","11"
