"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"12925","32269","770","-20729","-11265","-6913","12544","19462","5353","-14058","12","244","21907","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12926","-26611","258","-4857","-6913","-11777","24064","13830","3305","-9194","12","244","21932","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12927","8206","1794","-16633","-769","-13057","21760","8198","-24","-3050","12","244","21959","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12928","-3827","4354","-27897","-2817","-5633","13824","4358","-2072","791","12","244","21983","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12929","-24819","22530","-26361","-5121","1536","7936","1286","-3096","3351","12","244","22009","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12930","31757","-29952","12807","-3073","-3073","-1","518","-3096","3863","12","244","22034","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12931","4108","-19198","10503","-7681","8448","-257","-1787","-2328","5399","12","244","22060","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12932","20749","-16129","-7417","-17665","-9217","5376","-4859","-1816","6423","12","244","22086","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12933","21774","-19713","-19960","-12289","-8193","9216","-8443","-2584","8471","12","244","22111","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12934","-17396","-18433","-13560","-14593","2560","2304","-11515","-2328","10007","12","244","22137","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12935","20747","-767","12295","-7425","4352","3328","-14843","-536","12567","12","244","22162","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12936","8720","29188","-14331","8960","11520","5888","-17147","233","15383","12","244","22188","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12937","26382","5632","-4856","9472","-257","8448","-17403","-24","16919","12","244","22214","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12938","-30454","-14847","-16376","-769","-7425","3328","-17659","-536","18199","12","244","22239","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12939","6929","3588","32517","2048","0","5120","-19451","-1304","20759","12","244","22265","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12940","30220","7167","-14838","-7937","-9217","4864","-20731","-2584","21015","12","244","22290","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12941","-3572","9732","-26619","0","11264","-8193","-22011","-1560","22039","12","244","22316","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12942","-11250","17920","27400","0","23296","-5377","-21243","1257","20759","12","244","22343","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12943","23050","-17919","-19960","-8449","-4097","-2049","-21755","3049","20759","12","244","22367","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12944","-19696","-12542","13062","6656","14848","14848","-24315","4329","23575","12","244","22393","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12945","25866","30207","-29686","1792","-513","27392","-28923","3817","29975","12","244","22418","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12946","-16114","10500","-24828","768","11776","-23808","26629","3561","-23785","12","244","22444","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
"12947","-31990","-4610","-16887","-4865","3584","-13568","14085","2025","-9961","12","244","22470","2020-11-02 15:10:35","2020-11-02 15:11:05","1","DF:DC:EF:28:D6:3E","12","12"
