"id","accelerationx","accelerationy","accelerationz","angularvelocityx","angularvelocityy","angularvelocityz","pitch","roll","yaw","mdlcircle_id","hallsensor","timestamp","starttime","endtime","train_mode","blemac","training_id","training_handle_id"
"15279","-11253","-8952","29175","-30464","24329","-7169","7474","9965","8688","14","250","25081","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15280","-29429","-10488","32504","-15617","1285","2559","7729","-24596","30705","14","250","25133","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15281","7179","-18679","15353","-32513","8450","1279","31536","32748","13554","14","250","25136","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15282","-26357","9481","10489","-18945","-3583","32255","6192","28908","-23310","14","250","25157","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15283","-28917","12553","-24071","-9985","26626","20735","-21713","21996","10739","14","250","25183","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15284","-12020","24072","-2823","-2305","514","5887","15919","18156","-19213","14","250","25209","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15285","-17911","2312","12794","-23297","-17152","24575","-5330","18668","5364","14","250","25234","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15286","4878","18184","-32006","-22529","31487","-12545","-11474","21996","8948","14","250","25260","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15287","-26098","-5113","-24839","10240","29182","-25345","559","31980","-7693","14","250","25285","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15288","-18421","-10746","10234","26112","20990","-26881","18223","-21012","-26637","14","250","25311","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15289","-27125","23563","-32262","-6400","-26114","11519","-28369","-8468","23795","14","250","25362","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15290","22286","26376","13049","12545","5887","-19458","-14289","7149","19699","14","250","25364","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15291","11530","-29942","16122","17153","-15618","-16386","304","23789","16883","14","250","25388","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15292","3597","-1272","15351","11521","28414","-1538","20016","-23315","7155","14","250","25415","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15293","-2037","-24819","19961","-3584","-1282","26367","-27088","-8723","-3598","14","250","25439","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15294","-15351","19976","27381","-15616","-1025","-9217","-17616","-2579","-4878","14","250","25465","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15295","-30195","-14069","26104","22272","-5889","16128","-11472","-3091","-5902","14","250","25490","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15296","23820","-2036","19451","6912","20223","24832","-3536","-2323","-14862","14","250","25516","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15297","14602","-25593","-11019","25088","6399","-3329","6449","1006","-25102","14","250","25541","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15298","24077","-3576","-20746","16896","-28673","22783","13617","8686","-29454","14","250","25567","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15299","14349","15885","-9480","-21761","4352","27391","10545","15854","-26126","14","250","25593","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15300","-29943","10","-1031","32255","22784","-6657","1841","17134","-20750","14","250","25618","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15301","3850","-30970","8438","-21761","22784","-18177","-6352","16110","-14606","14","250","25644","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15302","5131","-29942","10232","-28673","27904","-30721","-15568","18414","-7182","14","250","25670","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15303","30986","8","-12295","-11777","29184","3072","-24016","18414","-14","14","250","25695","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15304","-4853","7179","250","17152","-3073","-10240","-22224","14062","-1550","14","250","25721","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15305","-28407","14345","-5640","-32000","-13826","-24319","-4560","8174","-20750","14","250","25746","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15306","6155","-30967","-11785","-27392","16894","7170","25649","1518","11250","14","250","25772","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
"15307","-3827","-6392","15095","26112","3327","5634","-10703","-8211","-22287","14","250","25797","2020-11-02 15:12:46","2020-11-02 15:13:16","2","DF:DC:EF:28:D6:3E","14","14"
