id,accelerationx,accelerationy,accelerationz,angularvelocityx,angularvelocityy,angularvelocityz,pitch,roll,yaw,mdlcircle_id,hallsensor,timestamp,starttime,endtime,train_mode,blemac,training_id,training_handle_id,accelerationWorldx,accelerationWorldy,accelerationWorldz
84946,27898,1554,11758,-16116,-24563,22267,10289,-31241,8709,73,1,5848,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,15863.72816333691,7948.292756914082,-24579.069449638213
84947,2299,-28923,23788,20501,-10231,-4103,4915,23543,9223,73,1,5873,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,13798.974653967252,-32040.513284079614,-13808.985516390674
84948,-14083,20724,-4383,-24808,-9976,17400,566,7415,11785,73,1,5899,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,-14142.96722995059,-18896.78257649124,9482.29087242955
84949,-32531,759,4576,-1258,-6657,-8449,28473,12791,-3319,73,1,5925,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,10295.585219005334,2967.0127102935976,31064.12043781628
84950,19694,-19750,-28197,-23780,4876,-17391,6206,-7947,-15864,73,1,5950,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,-3710.7987130451966,-39481.752823828756,-638.8363400370108
84951,-6382,31944,-28202,-27622,20236,1310,-11196,5875,-28156,73,1,5976,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,30317.3226112752,-25201.00712771314,-17385.94413406454
84952,1059,-14131,-26661,-30186,-14574,18209,-3137,29169,-1283,73,1,6001,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,25866.278341199493,-14131.0,-6547.216719766811
84953,-5606,32243,-26667,15626,28451,-18909,27592,-7953,-9228,73,1,6027,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,-33183.88266646675,-24678.423241885263,-8483.662621329591
84954,-12557,7946,-21294,5107,-32223,-9687,8911,24304,5610,73,1,6053,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,11854.734921870437,22211.52527292759,-6353.34604616218
84955,22252,19908,-27672,-20775,23576,14137,-24113,-16652,4321,73,1,6078,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,-39406.992081795484,7929.501446008204,6436.733168546137
84956,-5062,30925,-16627,8671,-27380,26164,23245,28666,-21288,73,1,6104,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,-15107.583983288228,30975.28698096959,-8410.05949054276
84957,11588,2521,-16897,7392,17151,19723,27593,-20740,14293,73,1,6130,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,18436.80686521061,-5596.6151979603055,-7409.9827895132585
84958,-27862,-17696,30438,1245,5376,26101,23748,25084,214,73,-1,6155,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,23133.47742072459,34602.43186698519,-16835.237904926464
84959,-16614,25063,-12287,-11299,24580,-30478,-26690,13051,-3881,73,-1,6206,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,31464.039426632477,-7083.437809856192,3871.4939949865297
84960,10515,15342,22273,-22808,8970,-29453,-1351,-29191,-8743,73,-1,6208,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,26061.25347898569,-12192.782741700994,-3765.0808912604625
84961,-30022,-27401,-20236,29940,-14820,-20462,15428,-20746,-3879,73,-1,6232,2020-11-02 15:45:28,2020-11-02 15:45:57,4,D7:F2:3B:06:4D:C8,73,73,32049.26031579075,29803.382197472743,12092.73764711882
